method,round,selector_improvement_mean,selector_improvement_median,selector_improvement_std,test_improvement_mean,test_improvement_median,test_improvement_std
additive_static,0,0.0,0.0,0.0,0.0,0.0,0.0
additive_static,1,0.053415005954428024,0.04364110971102025,0.052003660136388526,0.022945149380108432,0.016924679826667552,0.06204945647999575
additive_static,2,0.07226282016430025,0.05911048961433615,0.0718064529500703,0.027693444380849454,0.026677429873170497,0.07205118181366048
additive_static,3,0.08045943548278928,0.05911048961433615,0.08019814531668211,0.027273452205851954,0.026830925265931047,0.07319862547770553
additive_static,4,0.08266015158976171,0.05911048961433615,0.0818683344431587,0.030211203901326516,0.032409864113396844,0.07473943059810685
contextual_active,0,0.0,0.0,0.0,0.0,0.0,0.0
contextual_active,1,0.10239256829187454,0.09229749194824305,0.06693136172809175,0.06218272581108894,0.06116767336910505,0.03892980069874942
contextual_active,2,0.1437601843858924,0.1238035781234622,0.08534429752393188,0.0719298930191941,0.06333824994695986,0.06254435318569072
contextual_active,3,0.17299721822428982,0.15276500629211365,0.09533989243161986,0.0871181507737294,0.069689267582452,0.07546681889232643
contextual_active,4,0.19035745197228673,0.17120161367791153,0.10159063756949183,0.08940768233141422,0.0711756606776949,0.07933163636396764
fm_static,0,0.0,0.0,0.0,0.0,0.0,0.0
fm_static,1,0.02858649224574321,0.00292301106802975,0.047829335261368955,0.014579311540269209,0.0,0.042799097405908045
fm_static,2,0.0529500499778612,0.0080072135656848,0.08136526310320197,0.02018745999180803,0.0,0.053696440057873863
fm_static,3,0.056855412682777336,0.0185086396140363,0.08265480171365175,0.024255105726129475,0.0,0.05858895603380099
fm_static,4,0.056855412682777336,0.0185086396140363,0.08265480171365175,0.024255105726129475,0.0,0.05858895603380099
random_search,0,0.0,0.0,0.0,0.0,0.0,0.0
random_search,1,0.07562994425304227,0.0653243531362266,0.04111772520666372,0.0535212266324602,0.04800946417790595,0.0417638196210915
random_search,2,0.12108357676572545,0.11372032054349406,0.057383780749645626,0.07788307569857555,0.07203007875043149,0.05950010355901968
random_search,3,0.15105917237333422,0.1393379090263125,0.06825694402214014,0.09700772452121564,0.08359301717710596,0.07377779004090321
random_search,4,0.16991790466568074,0.15955410347777024,0.0717150457833326,0.10586942346297837,0.08104560629669691,0.08725387354084485
row_active,0,0.0,0.0,0.0,0.0,0.0,0.0
row_active,1,0.08459661029138343,0.058658610268276054,0.05147971155974223,0.06130719415563954,0.04661804201866105,0.05734717261732465
row_active,2,0.1406500448506407,0.1156548534676951,0.07549562582131573,0.08290498711793794,0.06804814824662064,0.05092035085466833
row_active,3,0.1637846452236945,0.14710284380527305,0.08384156005262262,0.09144283835956571,0.081137848819725,0.05992837285456575
row_active,4,0.18452963521585786,0.164342501207171,0.09149085106805913,0.09994025842744508,0.08681924042601755,0.07431181774180733
