dataset,data_role,method,start_seed,round,indices,selector_utility,test_utility,selector_improvement,test_improvement,posthoc_test_diagnostic
churn,confirmation,random_search,4101,0,0;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;143;144;149;153;155;166;173;186;195;216;218;231;242;251,-0.3857321205426178,-0.4019821440317637,0.0,0.0,True
churn,confirmation,random_search,4101,1,0;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;143;144;149;155;166;173;186;195;212;216;218;231;242;251,-0.3449563747685409,-0.37436015010600865,0.04077574577407689,0.02762199392575504,True
churn,confirmation,random_search,4101,2,0;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;143;144;149;155;158;166;173;186;195;212;216;218;242;251,-0.3126878245419665,-0.42312240185593086,0.07304429600065132,-0.021140257824167175,True
churn,confirmation,random_search,4101,3,0;12;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;143;149;155;158;166;173;186;195;212;216;218;242;251,-0.3004891666631308,-0.40850210323850733,0.085242953879487,-0.006519959206743642,True
churn,confirmation,random_search,4101,4,0;12;14;25;37;40;45;54;58;60;61;70;72;76;79;94;95;96;140;143;149;155;158;166;173;186;195;212;216;218;242;251,-0.2888310805506257,-0.4031529988642122,0.09690103999199212,-0.001170854832448498,True
churn,confirmation,row_active,4101,0,0;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;143;144;149;153;155;166;173;186;195;216;218;231;242;251,-0.3857321205426178,-0.4019821440317637,0.0,0.0,True
churn,confirmation,row_active,4101,1,0;14;25;32;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;143;144;149;155;166;173;186;195;216;218;231;242;251,-0.3452740132167309,-0.38055690051399377,0.040458107325886894,0.02142524351776992,True
churn,confirmation,row_active,4101,2,0;14;25;32;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;144;149;155;163;166;173;186;195;216;218;231;242;251,-0.3138448406182518,-0.3797302714137818,0.071887279924366,0.022251872617981894,True
churn,confirmation,row_active,4101,3,0;14;25;32;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;144;149;155;163;166;173;186;195;202;216;218;242;251,-0.2994171401852144,-0.4047309639418551,0.08631498035740337,-0.0027488199100914046,True
churn,confirmation,row_active,4101,4,0;14;25;32;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;144;149;155;163;166;173;186;195;202;216;218;233;251,-0.2897600228822098,-0.4060519189061319,0.09597209766040798,-0.004069774874368215,True
churn,confirmation,contextual_active,4101,0,0;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;143;144;149;153;155;166;173;186;195;216;218;231;242;251,-0.3857321205426178,-0.4019821440317637,0.0,0.0,True
churn,confirmation,contextual_active,4101,1,0;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;143;144;149;155;166;173;186;195;209;216;218;231;242;251,-0.3301371125715678,-0.39227076155111895,0.05559500797104999,0.009711382480644737,True
churn,confirmation,contextual_active,4101,2,0;14;25;37;40;45;54;60;61;70;72;75;79;94;95;96;104;140;143;144;149;155;166;173;186;195;209;216;218;231;242;251,-0.3093261160611013,-0.387465031004695,0.07640600448151652,0.014517113027068707,True
churn,confirmation,contextual_active,4101,3,0;14;25;37;40;45;54;60;61;70;75;79;94;95;96;104;140;143;144;149;155;166;173;186;195;209;216;218;231;236;242;251,-0.2984157267164914,-0.3735031619963813,0.08731639382612638,0.028478982035382405,True
churn,confirmation,contextual_active,4101,4,0;14;25;37;40;45;54;60;61;70;75;79;94;95;96;104;138;140;143;144;149;155;166;173;186;195;209;216;218;231;236;251,-0.2867389143983586,-0.3780603630264404,0.09899320614425922,0.023921781005323273,True
churn,confirmation,additive_static,4101,0,0;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;143;144;149;153;155;166;173;186;195;216;218;231;242;251,-0.3857321205426178,-0.4019821440317637,0.0,0.0,True
churn,confirmation,additive_static,4101,1,0;4;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;140;143;144;149;153;155;166;173;186;195;216;218;231;242;251,-0.3741728672955036,-0.42866713893111963,0.01155925324711421,-0.02668499489935594,True
churn,confirmation,additive_static,4101,2,0;4;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;140;143;144;149;153;155;166;173;186;195;209;216;218;242;251,-0.3421772484168202,-0.4685874100978205,0.04355487212579762,-0.06660526606605682,True
churn,confirmation,additive_static,4101,3,0;4;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;140;143;144;149;153;155;166;173;186;195;209;216;218;242;251,-0.3421772484168202,-0.4685874100978205,0.04355487212579762,-0.06660526606605682,True
churn,confirmation,additive_static,4101,4,0;4;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;140;143;144;149;153;155;166;173;186;195;209;216;218;242;251,-0.3421772484168202,-0.4685874100978205,0.04355487212579762,-0.06660526606605682,True
churn,confirmation,fm_static,4101,0,0;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;143;144;149;153;155;166;173;186;195;216;218;231;242;251,-0.3857321205426178,-0.4019821440317637,0.0,0.0,True
churn,confirmation,fm_static,4101,1,0;4;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;96;140;143;144;149;153;155;166;173;186;195;216;218;242;251,-0.3798860984065583,-0.4503575260964652,0.005846022136059503,-0.04837538206470149,True
churn,confirmation,fm_static,4101,2,0;4;14;25;37;40;45;54;60;61;70;72;75;76;79;94;95;140;143;144;149;153;155;166;173;186;195;216;218;234;242;251,-0.3697176934112481,-0.47028264528353636,0.01601442713136969,-0.06830050125177267,True
churn,confirmation,fm_static,4101,3,0;4;14;25;40;45;54;60;61;70;72;75;76;79;94;95;140;143;144;149;153;155;166;173;186;195;216;218;234;242;251;253,-0.3487148413145451,-0.4852270671642637,0.037017279228072686,-0.08324492313250004,True
churn,confirmation,fm_static,4101,4,0;4;14;25;40;45;54;60;61;70;72;75;76;79;94;95;140;143;144;149;153;155;166;173;186;195;216;218;234;242;251;253,-0.3487148413145451,-0.4852270671642637,0.037017279228072686,-0.08324492313250004,True
churn,confirmation,random_search,4102,0,4;8;11;15;16;19;28;32;43;65;66;71;92;94;100;114;122;124;126;134;136;145;158;160;161;162;174;214;231;233;237;247,-0.4023133476032439,-0.4920639295850156,0.0,0.0,True
churn,confirmation,random_search,4102,1,4;8;11;15;16;19;28;32;43;65;66;71;92;94;114;122;124;126;134;136;145;158;160;161;162;174;205;214;231;233;237;247,-0.3308726169252419,-0.41914022182736754,0.071440730678002,0.07292370775764806,True
churn,confirmation,random_search,4102,2,4;8;11;15;16;28;32;43;65;66;71;92;94;114;122;124;126;134;136;145;158;160;161;162;174;205;214;219;231;233;237;247,-0.2956088620195813,-0.40008380457593373,0.10670448558366258,0.09198012500908187,True
churn,confirmation,random_search,4102,3,4;8;11;15;16;32;43;65;66;71;92;94;114;118;122;124;126;134;136;145;158;160;161;162;174;205;214;219;231;233;237;247,-0.2863170625951116,-0.3921344538640132,0.1159962850081323,0.09992947572100241,True
churn,confirmation,random_search,4102,4,4;8;11;15;16;32;65;66;71;92;94;114;118;121;122;124;126;134;136;145;158;160;161;162;174;205;214;219;231;233;237;247,-0.2744491600622464,-0.3906850135685503,0.1278641875409975,0.10137891601646531,True
churn,confirmation,row_active,4102,0,4;8;11;15;16;19;28;32;43;65;66;71;92;94;100;114;122;124;126;134;136;145;158;160;161;162;174;214;231;233;237;247,-0.4023133476032439,-0.4920639295850156,0.0,0.0,True
churn,confirmation,row_active,4102,1,4;8;11;15;16;19;28;32;43;65;66;71;92;94;100;114;122;124;126;136;145;158;160;161;162;174;214;220;231;233;237;247,-0.3590124860454764,-0.44452966268123995,0.04330086155776747,0.04753426690377566,True
churn,confirmation,row_active,4102,2,4;8;11;15;16;19;28;32;43;65;66;71;92;94;114;122;124;126;127;136;145;158;160;161;162;174;214;220;231;233;237;247,-0.3002908283377249,-0.43972585987248525,0.10202251926551897,0.052338069712530355,True
churn,confirmation,row_active,4102,3,4;8;11;15;16;19;32;43;65;66;71;92;94;114;122;124;126;127;136;145;158;160;161;162;174;177;214;220;231;233;237;247,-0.2807886511603852,-0.4280659296764232,0.12152469644285868,0.0639979999085924,True
churn,confirmation,row_active,4102,4,4;8;11;15;16;19;32;43;65;66;71;84;92;94;114;122;124;126;127;136;145;158;160;161;162;174;177;214;220;233;237;247,-0.2693140809257971,-0.3958796791596508,0.13299926667744677,0.09618425042536483,True
