dataset,data_role,method,start_seed,round,indices,selector_utility,test_utility,selector_improvement,test_improvement,posthoc_test_diagnostic
diamonds,development,random_search,4101,0,4;6;18;20;22;34;72;88;94;95;110;128;139;140;165;171;176;177;186;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.3770064871614428,-0.3787787747274346,0.0,0.0,True
diamonds,development,random_search,4101,1,4;6;18;20;22;34;38;72;88;94;95;128;139;140;165;171;176;177;186;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.2826548876204546,-0.3120355594029779,0.0943515995409882,0.0667432153244567,True
diamonds,development,random_search,4101,2,4;6;18;20;22;34;38;55;72;88;94;95;128;139;140;165;171;176;177;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.2569328284408574,-0.31249534763168163,0.1200736587205854,0.06628342709575297,True
diamonds,development,random_search,4101,3,4;6;18;20;22;34;38;55;72;88;94;95;128;139;140;152;165;171;176;177;196;198;206;212;216;219;223;233;243;245;254;255,-0.2395184992957774,-0.3088971852113935,0.1374879878656654,0.06988158951604112,True
diamonds,development,random_search,4101,4,4;6;18;20;22;34;38;55;85;88;94;95;128;139;140;152;165;171;176;177;196;198;206;212;216;219;223;233;243;245;254;255,-0.2303957880058821,-0.2900910561157832,0.14661069915556071,0.08868771861165142,True
diamonds,development,row_active,4101,0,4;6;18;20;22;34;72;88;94;95;110;128;139;140;165;171;176;177;186;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.3770064871614428,-0.3787787747274346,0.0,0.0,True
diamonds,development,row_active,4101,1,4;6;18;20;22;34;37;72;88;94;95;110;128;139;140;165;171;176;177;186;196;198;206;212;216;219;223;233;243;245;254;255,-0.2712404565362329,-0.3123731437722406,0.1057660306252099,0.06640563095519397,True
diamonds,development,row_active,4101,2,4;6;18;20;22;34;37;72;88;94;95;110;128;139;140;163;165;171;176;177;186;196;198;212;216;219;223;233;243;245;254;255,-0.2628543737378707,-0.31725281193260674,0.11415211342357212,0.06152596279482786,True
diamonds,development,row_active,4101,3,4;6;18;20;22;34;37;88;94;95;106;110;128;139;140;163;165;171;176;177;186;196;198;212;216;219;223;233;243;245;254;255,-0.2319375225873535,-0.29144966537676,0.1450689645740893,0.08732910935067462,True
diamonds,development,row_active,4101,4,4;6;18;20;22;34;37;88;94;106;110;128;139;140;163;165;171;176;177;186;191;196;198;212;216;219;223;233;243;245;254;255,-0.1950579040168599,-0.2657898468303526,0.1819485831445829,0.11298892789708198,True
diamonds,development,contextual_active,4101,0,4;6;18;20;22;34;72;88;94;95;110;128;139;140;165;171;176;177;186;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.3770064871614428,-0.3787787747274346,0.0,0.0,True
diamonds,development,contextual_active,4101,1,4;6;18;20;22;34;37;72;94;95;110;128;139;140;165;171;176;177;186;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.2853013792894773,-0.3268142627262137,0.09170510787196551,0.051964512001220875,True
diamonds,development,contextual_active,4101,2,4;6;18;19;20;22;34;37;72;94;95;110;128;139;140;171;176;177;186;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.2669997990606145,-0.31097690747149603,0.11000668810082831,0.06780186725593856,True
diamonds,development,contextual_active,4101,3,4;6;18;19;20;22;34;37;72;94;95;110;118;128;140;171;176;177;186;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.2292924861516091,-0.3022073784279552,0.1477140010098337,0.0765713962994794,True
diamonds,development,contextual_active,4101,4,4;6;18;19;20;22;34;37;72;90;94;110;118;128;140;171;176;177;186;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.2126959083240558,-0.2827766139266762,0.164310578837387,0.09600216080075841,True
diamonds,development,additive_static,4101,0,4;6;18;20;22;34;72;88;94;95;110;128;139;140;165;171;176;177;186;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.3770064871614428,-0.3787787747274346,0.0,0.0,True
diamonds,development,additive_static,4101,1,4;6;18;20;22;34;72;88;94;110;118;128;139;140;165;171;176;177;186;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.3239660202046627,-0.3286659057080943,0.05304046695678011,0.05011286901934031,True
diamonds,development,additive_static,4101,2,4;6;18;20;22;34;72;82;88;94;110;118;128;139;140;165;171;176;177;186;196;198;206;212;216;219;233;237;243;245;254;255,-0.2904298755485602,-0.31589099539734145,0.0865766116128826,0.06288777933009315,True
diamonds,development,additive_static,4101,3,4;6;18;20;22;72;82;88;94;110;112;118;128;139;140;165;171;176;177;186;196;198;206;212;216;219;233;237;243;245;254;255,-0.2673926795111552,-0.3558887344112003,0.10961380765028761,0.022890040316234317,True
diamonds,development,additive_static,4101,4,4;6;18;20;22;72;82;88;94;110;112;118;128;139;140;165;171;176;177;186;196;198;206;212;216;219;233;237;243;245;254;255,-0.2673926795111552,-0.3558887344112003,0.10961380765028761,0.022890040316234317,True
diamonds,development,fm_static,4101,0,4;6;18;20;22;34;72;88;94;95;110;128;139;140;165;171;176;177;186;196;198;206;212;216;219;223;233;237;243;245;254;255,-0.3770064871614428,-0.3787787747274346,0.0,0.0,True
diamonds,development,fm_static,4101,1,4;6;18;20;22;34;72;79;88;94;95;110;128;139;140;165;171;176;177;186;196;198;206;212;216;219;233;237;243;245;254;255,-0.3668527296027324,-0.3677020324273011,0.010153757558710397,0.011076742300133502,True
diamonds,development,fm_static,4101,2,4;6;18;20;22;34;72;79;88;94;110;112;128;139;140;165;171;176;177;186;196;198;206;212;216;219;233;237;243;245;254;255,-0.3339887730849485,-0.37153764873479567,0.043017714076494296,0.00724112599263893,True
diamonds,development,fm_static,4101,3,4;6;18;20;22;34;72;79;94;110;112;126;128;139;140;165;171;176;177;186;196;198;206;212;216;219;233;237;243;245;254;255,-0.3297887203321464,-0.3599104269104907,0.047217766829296404,0.01886834781694391,True
diamonds,development,fm_static,4101,4,4;6;18;20;22;34;72;79;94;110;112;126;128;139;140;165;171;176;177;186;196;198;206;212;216;219;233;237;243;245;254;255,-0.3297887203321464,-0.3599104269104907,0.047217766829296404,0.01886834781694391,True
diamonds,development,random_search,4102,0,2;12;16;20;28;30;31;34;36;44;52;53;61;62;69;78;93;100;127;139;165;171;175;176;177;193;195;201;239;248;250;253,-0.262092422694355,-0.3428116662771256,0.0,0.0,True
diamonds,development,random_search,4102,1,2;12;16;20;28;30;31;34;36;44;52;53;61;62;78;93;100;127;139;165;171;175;176;177;193;195;201;232;239;248;250;253,-0.2489991352568668,-0.3346572998907241,0.013093287437488221,0.00815436638640149,True
diamonds,development,random_search,4102,2,2;12;16;20;28;30;31;34;36;44;52;53;61;62;78;86;93;100;127;165;171;175;176;177;193;195;201;232;239;248;250;253,-0.2387792383197228,-0.3172068021268947,0.0233131843746322,0.025604864150230888,True
diamonds,development,random_search,4102,3,2;12;16;20;28;30;31;34;36;44;52;53;61;62;78;86;93;100;127;165;168;171;175;176;177;193;195;201;239;248;250;253,-0.2335158345145114,-0.31678908148465684,0.0285765881798436,0.026022584792468773,True
diamonds,development,random_search,4102,4,2;12;16;28;30;31;34;36;44;52;53;61;62;78;86;93;100;127;165;168;171;175;176;177;193;195;201;212;239;248;250;253,-0.2272578726878079,-0.3157157298953451,0.034834550006547116,0.02709593638178054,True
diamonds,development,row_active,4102,0,2;12;16;20;28;30;31;34;36;44;52;53;61;62;69;78;93;100;127;139;165;171;175;176;177;193;195;201;239;248;250;253,-0.262092422694355,-0.3428116662771256,0.0,0.0,True
diamonds,development,row_active,4102,1,2;12;16;20;28;30;31;34;36;44;52;53;61;62;78;93;100;127;139;165;171;175;176;177;183;193;195;201;239;248;250;253,-0.2467871710783351,-0.32703376510590154,0.015305251616019921,0.015777901171224074,True
diamonds,development,row_active,4102,2,2;12;16;20;28;30;31;34;36;44;53;61;62;78;93;100;127;139;165;171;175;176;177;183;193;195;201;237;239;248;250;253,-0.2389048481862386,-0.30675595580950865,0.0231875745081164,0.036055710467616964,True
diamonds,development,row_active,4102,3,2;12;16;20;28;30;31;34;36;44;53;62;72;78;93;100;127;139;165;171;175;176;177;183;193;195;201;237;239;248;250;253,-0.2276294473520719,-0.3073719373197493,0.0344629753422831,0.03543972895737629,True
diamonds,development,row_active,4102,4,2;12;16;20;28;30;34;36;44;53;62;72;78;93;100;127;139;165;171;175;176;177;182;183;193;195;201;237;239;248;250;253,-0.2161661533993615,-0.2943879590760334,0.04592626929499352,0.048423707201092236,True
diamonds,development,contextual_active,4102,0,2;12;16;20;28;30;31;34;36;44;52;53;61;62;69;78;93;100;127;139;165;171;175;176;177;193;195;201;239;248;250;253,-0.262092422694355,-0.3428116662771256,0.0,0.0,True
diamonds,development,contextual_active,4102,1,2;12;16;20;25;28;30;31;34;36;44;52;53;61;62;78;93;100;127;139;165;171;175;176;177;193;195;201;239;248;250;253,-0.2464367937315049,-0.32432951095581886,0.01565562896285011,0.01848215532130676,True
