dataset,data_role,method,start_seed,round,indices,selector_utility,test_utility,selector_improvement,test_improvement,posthoc_test_diagnostic
electricity,confirmation,random_search,4101,0,1;3;4;6;14;22;28;51;53;55;81;83;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;231;235;237,-0.7966975058932525,-0.6671023115062882,0.0,0.0,True
electricity,confirmation,random_search,4101,1,1;3;4;6;7;22;28;51;53;55;81;83;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;231;235;237,-0.6667833115903511,-0.6190295945623163,0.1299141943029014,0.04807271694397186,True
electricity,confirmation,random_search,4101,2,1;4;6;7;22;28;51;53;55;81;83;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;231;235;237;241,-0.5985687859022751,-0.5899520717311572,0.19812871999097736,0.07715023977513102,True
electricity,confirmation,random_search,4101,3,1;4;6;7;22;28;51;53;81;83;103;115;120;130;132;133;139;147;158;162;172;192;198;200;207;210;219;224;231;235;237;241,-0.5568405483580489,-0.5892170837853312,0.23985695753520364,0.07788522772095696,True
electricity,confirmation,random_search,4101,4,4;6;7;22;28;35;51;53;81;83;103;115;120;130;132;133;139;147;158;162;172;192;198;200;207;210;219;224;231;235;237;241,-0.5416080816941149,-0.62926051869213,0.2550894241991376,0.037841792814158226,True
electricity,confirmation,row_active,4101,0,1;3;4;6;14;22;28;51;53;55;81;83;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;231;235;237,-0.7966975058932525,-0.6671023115062882,0.0,0.0,True
electricity,confirmation,row_active,4101,1,1;3;4;6;14;22;28;51;53;55;81;83;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;230;231;237,-0.6368555485882582,-0.6205679816262709,0.1598419573049943,0.04653432988001727,True
electricity,confirmation,row_active,4101,2,1;3;4;6;14;22;28;51;53;81;83;97;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;230;231;237,-0.5951843042841354,-0.5886133695075778,0.20151320160911712,0.07848894199871037,True
electricity,confirmation,row_active,4101,3,1;3;4;6;14;22;28;51;53;83;89;97;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;230;231;237,-0.5611784134508833,-0.5784489287703549,0.23551909244236924,0.08865338273593326,True
electricity,confirmation,row_active,4101,4,1;3;4;14;22;28;51;53;83;89;97;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;230;231;237;238,-0.5578150758856748,-0.6063238607572453,0.2388824300075777,0.06077845074904287,True
electricity,confirmation,contextual_active,4101,0,1;3;4;6;14;22;28;51;53;55;81;83;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;231;235;237,-0.7966975058932525,-0.6671023115062882,0.0,0.0,True
electricity,confirmation,contextual_active,4101,1,1;3;4;6;14;22;28;33;51;53;55;81;83;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;231;237,-0.653510439256758,-0.6020951778533881,0.1431870666364945,0.06500713365290012,True
electricity,confirmation,contextual_active,4101,2,3;4;6;7;14;22;28;33;51;53;55;81;83;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;231;237,-0.5869080627352364,-0.6729855435838614,0.20978944315801606,-0.005883232077573242,True
electricity,confirmation,contextual_active,4101,3,3;4;6;7;14;22;28;33;51;53;81;83;103;111;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;231;237,-0.5632979397630529,-0.6054126885012445,0.23339956613019963,0.06168962300504366,True
