dataset,data_role,method,start_seed,selector_calls,start_selector_utility,final_selector_utility,selector_improvement,start_test_utility,final_test_utility,test_improvement,initial_indices,final_indices,trace_json
house_16H,confirmation,random_search,4101,257,-1.1506803485873174,-0.9926569278555006,0.15802342073181674,-1.239450149389325,-1.0208861955226038,0.21856395386672123,5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252,5;6;9;18;27;31;32;34;35;37;43;44;52;70;71;78;92;142;145;166;168;175;183;184;199;203;227;228;233;245;249;252,"[{""round"":1,""best_gain"":0.03583949060980318,""moved"":true,""indices"":""5;6;9;18;27;31;32;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;183;184;199;203;227;228;233;249;251;252""},{""round"":2,""best_gain"":0.04326038081423955,""moved"":true,""indices"":""5;6;9;18;27;31;32;34;35;37;43;44;52;70;71;92;131;142;145;166;168;170;175;183;184;199;203;227;228;233;249;252""},{""round"":3,""best_gain"":0.03192091483030435,""moved"":true,""indices"":""5;6;9;18;27;31;32;34;35;37;43;44;52;70;71;78;92;131;142;145;166;168;175;183;184;199;203;227;228;233;249;252""},{""round"":4,""best_gain"":0.04700263447746966,""moved"":true,""indices"":""5;6;9;18;27;31;32;34;35;37;43;44;52;70;71;78;92;142;145;166;168;175;183;184;199;203;227;228;233;245;249;252""}]"
house_16H,confirmation,row_active,4101,257,-1.1506803485873174,-0.9574557109840899,0.1932246376032275,-1.239450149389325,-1.1768743279414449,0.06257582144788021,5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252,6;9;18;27;31;34;35;37;43;44;52;70;71;80;92;145;159;166;168;170;175;179;183;184;203;211;227;233;245;249;251;252,"[{""round"":1,""best_gain"":0.05849210746418132,""moved"":true,""train_rows"":64,""indices"":""6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;159;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252""},{""round"":2,""best_gain"":0.0837859120431248,""moved"":true,""train_rows"":128,""indices"":""6;9;18;27;31;34;35;37;43;44;52;70;71;92;145;159;166;168;170;175;179;183;184;199;203;227;228;233;245;249;251;252""},{""round"":3,""best_gain"":0.03241950352875633,""moved"":true,""train_rows"":192,""indices"":""6;9;18;27;31;34;35;37;43;44;52;70;71;92;145;159;166;168;170;175;179;183;184;203;211;227;228;233;245;249;251;252""},{""round"":4,""best_gain"":0.01852711456716505,""moved"":true,""train_rows"":256,""indices"":""6;9;18;27;31;34;35;37;43;44;52;70;71;80;92;145;159;166;168;170;175;179;183;184;203;211;227;233;245;249;251;252""}]"
house_16H,confirmation,contextual_active,4101,257,-1.1506803485873174,-0.9484372376721556,0.20224311091516178,-1.239450149389325,-1.1308827420202316,0.10856740736909343,5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252,6;9;14;18;27;31;34;35;37;41;43;44;52;56;70;92;131;142;145;166;170;175;183;184;199;203;227;228;233;249;251;252,"[{""round"":1,""best_gain"":0.06870373730456114,""moved"":true,""train_rows"":64,""indices"":""6;9;18;27;31;34;35;37;41;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252""},{""round"":2,""best_gain"":0.03632341763910296,""moved"":true,""train_rows"":128,""indices"":""6;9;14;18;27;31;34;35;37;41;43;44;52;70;71;92;131;145;166;168;170;175;183;184;199;203;227;228;233;249;251;252""},{""round"":3,""best_gain"":0.07433066553850476,""moved"":true,""train_rows"":192,""indices"":""6;9;14;18;27;31;34;35;37;41;43;44;52;70;71;92;131;142;145;166;170;175;183;184;199;203;227;228;233;249;251;252""},{""round"":4,""best_gain"":0.022885290432992922,""moved"":true,""train_rows"":256,""indices"":""6;9;14;18;27;31;34;35;37;41;43;44;52;56;70;92;131;142;145;166;170;175;183;184;199;203;227;228;233;249;251;252""}]"
house_16H,confirmation,additive_static,4101,5,-1.1506803485873174,-1.1506803485873174,0.0,-1.239450149389325,-1.239450149389325,0.0,5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252,5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252,"[{""round"":1,""gain"":-0.007249180422973289,""moved"":false,""indices"":""5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252""},{""round"":2,""gain"":-0.007249180422973289,""moved"":false,""indices"":""5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252""},{""round"":3,""gain"":-0.007249180422973289,""moved"":false,""indices"":""5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252""},{""round"":4,""gain"":-0.007249180422973289,""moved"":false,""indices"":""5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252""}]"
house_16H,confirmation,fm_static,4101,5,-1.1506803485873174,-1.1506803485873174,0.0,-1.239450149389325,-1.239450149389325,0.0,5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252,5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252,"[{""round"":1,""gain"":-0.0036595219058508377,""moved"":false,""indices"":""5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252""},{""round"":2,""gain"":-0.0036595219058508377,""moved"":false,""indices"":""5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252""},{""round"":3,""gain"":-0.0036595219058508377,""moved"":false,""indices"":""5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252""},{""round"":4,""gain"":-0.0036595219058508377,""moved"":false,""indices"":""5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252""}]"
house_16H,confirmation,vip_style,4101,254,-1.1506803485873174,-1.0250196232329771,0.12566072535434025,-1.239450149389325,-1.1334184761336947,0.10603167325563034,5;6;9;18;27;31;34;35;37;43;44;52;70;71;92;131;145;166;168;170;175;179;183;184;199;203;227;228;233;249;251;252,2;15;23;26;37;44;51;53;55;57;78;82;94;103;105;119;127;131;145;154;164;173;179;185;187;208;216;232;233;235;238;245,"[{""round"":1,""contexts"":63,""temperature"":2.0},{""round"":2,""contexts"":126,""temperature"":1.0},{""round"":3,""contexts"":189,""temperature"":0.5},{""round"":4,""contexts"":252,""temperature"":0.25}]"
house_16H,confirmation,random_search,4102,257,-1.0191306726284548,-0.9391557140918215,0.07997495853663328,-1.131921077919343,-1.1107921496489757,0.021128928270367275,2;3;28;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;145;149;160;164;183;197;203;220;222;223;229;230;242;255,2;3;28;31;33;44;50;52;65;66;67;89;96;103;110;118;119;124;128;145;149;157;160;164;197;203;220;222;229;230;242;255,"[{""round"":1,""best_gain"":0.02307715932012977,""moved"":true,""indices"":""2;3;28;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;145;149;157;160;164;197;203;220;222;223;229;230;242;255""},{""round"":2,""best_gain"":0.020147219899489532,""moved"":true,""indices"":""2;3;28;31;33;44;50;52;65;66;67;96;103;110;114;118;119;124;145;149;157;160;164;197;203;220;222;223;229;230;242;255""},{""round"":3,""best_gain"":0.026097634260291103,""moved"":true,""indices"":""2;3;28;31;33;44;50;52;65;66;67;89;96;103;110;114;118;119;124;145;149;157;160;164;197;203;220;222;229;230;242;255""},{""round"":4,""best_gain"":0.010652945056722873,""moved"":true,""indices"":""2;3;28;31;33;44;50;52;65;66;67;89;96;103;110;118;119;124;128;145;149;157;160;164;197;203;220;222;229;230;242;255""}]"
house_16H,confirmation,row_active,4102,257,-1.0191306726284548,-0.9069668233125253,0.11216384931592949,-1.131921077919343,-1.0844154565793909,0.047505621339952064,2;3;28;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;145;149;160;164;183;197;203;220;222;223;229;230;242;255,2;3;16;28;31;33;44;50;52;65;66;67;77;96;110;116;118;119;124;133;145;149;160;164;197;209;222;223;229;230;242;255,"[{""round"":1,""best_gain"":0.025363717099734395,""moved"":true,""train_rows"":64,""indices"":""2;3;28;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;133;145;149;160;164;197;203;220;222;223;229;230;242;255""},{""round"":2,""best_gain"":0.04184356722150606,""moved"":true,""train_rows"":128,""indices"":""2;3;16;28;31;33;44;50;52;65;66;67;77;96;110;118;119;124;133;145;149;160;164;197;203;220;222;223;229;230;242;255""},{""round"":3,""best_gain"":0.017491983848559545,""moved"":true,""train_rows"":192,""indices"":""2;3;16;28;31;33;44;50;52;65;66;67;77;96;110;116;118;119;124;133;145;149;160;164;197;203;222;223;229;230;242;255""},{""round"":4,""best_gain"":0.027464581146129485,""moved"":true,""train_rows"":256,""indices"":""2;3;16;28;31;33;44;50;52;65;66;67;77;96;110;116;118;119;124;133;145;149;160;164;197;209;222;223;229;230;242;255""}]"
house_16H,confirmation,contextual_active,4102,257,-1.0191306726284548,-0.9403039275128846,0.0788267451155702,-1.131921077919343,-1.088799310390857,0.043121767528485844,2;3;28;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;145;149;160;164;183;197;203;220;222;223;229;230;242;255,2;3;28;31;33;37;44;50;52;65;66;67;70;77;96;110;114;118;119;124;145;149;160;164;166;197;214;220;222;229;230;255,"[{""round"":1,""best_gain"":0.037214696745468845,""moved"":true,""train_rows"":64,""indices"":""2;3;28;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;145;149;160;164;183;197;203;214;220;222;229;230;242;255""},{""round"":2,""best_gain"":0.025028077947655603,""moved"":true,""train_rows"":128,""indices"":""2;3;28;31;33;44;50;52;65;66;67;70;77;96;110;114;118;119;124;145;149;160;164;197;203;214;220;222;229;230;242;255""},{""round"":3,""best_gain"":0.014770848212704912,""moved"":true,""train_rows"":192,""indices"":""2;3;28;31;33;37;44;50;52;65;66;67;70;77;96;110;114;118;119;124;145;149;160;164;197;214;220;222;229;230;242;255""},{""round"":4,""best_gain"":0.0018131222097408362,""moved"":true,""train_rows"":256,""indices"":""2;3;28;31;33;37;44;50;52;65;66;67;70;77;96;110;114;118;119;124;145;149;160;164;166;197;214;220;222;229;230;255""}]"
house_16H,confirmation,additive_static,4102,5,-1.0191306726284548,-0.977784865595988,0.04134580703246682,-1.131921077919343,-1.0959884157995343,0.03593266211980861,2;3;28;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;145;149;160;164;183;197;203;220;222;223;229;230;242;255,2;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;125;145;149;160;164;183;197;203;220;222;223;229;230;242;245;255,"[{""round"":1,""gain"":0.01892179716672482,""moved"":true,""indices"":""2;28;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;125;145;149;160;164;183;197;203;220;222;223;229;230;242;255""},{""round"":2,""gain"":0.022424009865742,""moved"":true,""indices"":""2;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;125;145;149;160;164;183;197;203;220;222;223;229;230;242;245;255""},{""round"":3,""gain"":-0.06012655769238351,""moved"":false,""indices"":""2;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;125;145;149;160;164;183;197;203;220;222;223;229;230;242;245;255""},{""round"":4,""gain"":-0.06012655769238351,""moved"":false,""indices"":""2;31;33;44;50;52;65;66;67;77;96;110;114;118;119;124;125;145;149;160;164;183;197;203;220;222;223;229;230;242;245;255""}]"
