dataset,K,parameterization,rank,regularization,val_mse,r2,spearman,mae,coefficient
credit-g,16,ID-factor joint,2.0,0.01,0.006894456200760436,0.2165115350503033,0.4947986660996691,0.06976377432834252,
credit-g,16,ID-factor residual,2.0,0.02,0.00833943912642169,0.2235670311507415,0.5227690278453244,0.07059655215803785,
credit-g,16,ID-factor joint,4.0,0.01,0.011286327190766856,0.11750380687225892,0.46447943065306946,0.07571547539876737,
credit-g,16,ID-factor residual,4.0,0.02,0.007405611884126733,0.22437643666891727,0.5182500440672411,0.07064166073381922,
credit-g,16,ID-factor joint,8.0,0.01,0.009677080887118498,0.21561683279653532,0.5181870082897523,0.06995795198803594,
credit-g,16,ID-factor residual,8.0,0.02,0.006365858121044542,0.22400885936560688,0.5187067492273096,0.07078458418887609,
credit-g,16,ID-factor joint,16.0,0.01,0.0131770419074102,0.1693392364086198,0.47811572431728633,0.07284663120630654,
credit-g,16,ID-factor residual,16.0,0.02,0.010931803687269852,0.2246642233522541,0.5187044371041972,0.07057358539199293,
credit-g,16,feature-bilinear MLP,4.0,0.01,0.010212080301550833,0.23293671219544332,0.48659939077989794,0.07005213641076494,
credit-g,16,feature-bilinear MLP,8.0,0.01,0.007849123738489715,-0.02799194581929143,0.2908819417161222,0.08013838862123877,
credit-g,16,feature-bilinear MLP,16.0,0.01,0.01236573997531856,0.11546292036957273,0.4358513307272461,0.07801729706376097,
credit-g,16,signed bilinear,4.0,0.02,0.009905610981139517,0.1609082932994964,0.44550627008238636,0.07381702247402717,
credit-g,16,signed bilinear,8.0,0.02,0.009223137965580585,0.10033178034775692,0.39908966845432314,0.07550220954123146,
credit-g,16,signed bilinear,16.0,0.02,0.010615900985438579,0.05593453487858402,0.24594254337558163,0.07726269581313407,
credit-g,16,DeepSets,,0.01,0.012881001869459865,0.30892109182393046,0.5675516885769739,0.0671111257404468,
credit-g,16,cosine_diversity,,1.0,,0.2236282285130995,0.5185240915014203,0.0708171847234247,0.0
credit-g,16,rbf_diversity,,1.0,,0.2236282285130995,0.5185240915014203,0.0708171847234247,0.0
credit-g,16,euclidean_neighbor_diversity,,1.0,,0.2236282285130995,0.5185240915014203,0.0708171847234247,0.0
credit-g,16,label_target_complementarity,,1.0,,0.2236282285130995,0.5185240915014203,0.0708171847234247,0.0
