dataset,candidate_pool,contexts,model,rank,weight_decay,r2,spearman,mae,internal_val_mse
credit-g,128,1024,additive_ridge,,,0.10934671895178749,0.36690067467082743,0.07938167313701722,
credit-g,128,1024,id_fm,2.0,0.01,0.05569145930475816,0.29673811214559453,0.08077081379894525,0.010641240524078516
credit-g,128,1024,id_fm,2.0,0.05,0.057670677405783244,0.3123777500275754,0.08159764198029278,0.008886052050007226
credit-g,128,1024,id_fm,2.0,0.1,0.051794628143924326,0.27724095897145457,0.08156485334310397,0.014101589316616694
credit-g,128,1024,id_fm,4.0,0.01,0.04391606018843619,0.2855265919368889,0.08196965979537697,0.009496447376912947
credit-g,128,1024,id_fm,4.0,0.05,0.05920126927256175,0.2922999962625528,0.08136960653239633,0.008114163061192938
credit-g,128,1024,id_fm,4.0,0.1,0.07001090470163407,0.3254614207145753,0.08087007040720831,0.008584090987929437
credit-g,128,1024,id_fm,8.0,0.01,0.056355767585322236,0.3103740445380495,0.08027881210144622,0.012549966154513897
credit-g,128,1024,id_fm,8.0,0.05,0.03706266524532875,0.3155543106525049,0.08191554943902572,0.011870181852014364
credit-g,128,1024,id_fm,8.0,0.1,0.0586482418685762,0.29877522622850095,0.080977056141221,0.012988614978708056
credit-g,128,1024,id_fm,16.0,0.01,0.03864120936269799,0.2669116405873624,0.0819867514753665,0.010632540469481684
credit-g,128,1024,id_fm,16.0,0.05,0.04126490967537266,0.29445416226352944,0.08142453577651036,0.010335061036055493
credit-g,128,1024,id_fm,16.0,0.1,0.04111603511713724,0.3004127209560308,0.08036214014376601,0.014463083922425641
credit-g,128,1024,residual_fm,2.0,0.05,0.10910681322272042,0.3659728842044392,0.07946469698858527,0.008475021233082816
credit-g,128,1024,residual_fm,4.0,0.05,0.10889416558372511,0.36702922642646246,0.07941075401097725,0.007951767284702593
credit-g,128,1024,residual_fm,8.0,0.05,0.1110972924214455,0.36753234431992227,0.079862422089039,0.008136587318811846
credit-g,128,1024,residual_fm,16.0,0.05,0.1094665841851934,0.3659285276881179,0.07957537577127594,0.008383074544105765
credit-g,128,1024,pairwise_plus_deepsets_correction,4.0,0.05,0.07136080019360314,0.300558522468013,0.08236884077010964,0.010155476259686347
credit-g,128,1024,query_cluster_0_additive,,,0.2767776498685668,0.5461823208890032,0.12386966438649537,
credit-g,128,1024,query_cluster_0_fm,4.0,0.05,0.1674604462737297,0.5002449876109786,0.13388488867453166,
credit-g,128,1024,query_cluster_1_additive,,,0.20544957065597425,0.469059070969194,0.09415162016044963,
credit-g,128,1024,query_cluster_1_fm,4.0,0.05,0.12548211982485402,0.38064174843530335,0.09778886878645265,
credit-g,128,1024,query_cluster_2_additive,,,0.3271140001036281,0.646039928257442,0.10796775480175948,
credit-g,128,1024,query_cluster_2_fm,4.0,0.05,0.26116064807771433,0.5803413562497716,0.11156225460883859,
credit-g,128,1024,query_cluster_3_additive,,,0.3342503180799702,0.600688265278253,0.12426732364413026,
credit-g,128,1024,query_cluster_3_fm,4.0,0.05,0.258883498572797,0.5429143134781792,0.13128899637754862,
