dataset,task,K,method,repeat,indices,utility,logloss,accuracy,roc_auc,rmse,mae,runtime_seconds
credit-g,classification,16,random_stratified,0,0;9;78;81;82;86;115;118;124;167;172;195;212;221;222;224,-0.7450136372817003,0.7450136372817003,0.59375,0.6107160995429152,,,0.4868812190834433
credit-g,classification,16,random_stratified,1,29;37;38;69;96;112;115;117;126;198;208;215;222;225;235;247,-0.8671412521141673,0.8671412521141673,0.546875,0.5269172168613511,,,0.03325930889695883
credit-g,classification,16,random_stratified,2,3;21;31;45;46;73;76;78;82;101;110;124;144;147;155;239,-0.8623894946077661,0.8623894946077661,0.6015625,0.5563012406587825,,,0.04118429007939994
credit-g,classification,16,random_stratified,3,44;48;84;105;110;114;118;137;138;140;152;163;184;222;232;239,-0.742037636749705,0.742037636749705,0.5546875,0.4681128926938983,,,0.032760410103946924
credit-g,classification,16,random_stratified,4,6;24;30;32;35;36;40;50;86;96;119;172;186;198;212;215,-0.7209075244749458,0.7209075244749458,0.5625,0.5956975984908947,,,0.03264184994623065
credit-g,classification,16,random_stratified,5,7;14;48;52;59;92;137;144;156;172;198;200;210;229;243;248,-1.243804124257085,1.243804124257085,0.46875,0.5680548501777553,,,0.03266745922155678
credit-g,classification,16,random_stratified,6,15;26;34;43;55;71;79;93;103;112;142;155;156;202;216;222,-0.7043069196548263,0.7043069196548263,0.6171875,0.5454908220271348,,,0.032635341165587306
credit-g,classification,16,random_stratified,7,5;19;41;57;72;80;86;103;124;129;132;172;208;217;221;236,-0.8914632129256641,0.8914632129256641,0.51953125,0.5495175215845607,,,0.032558104023337364
credit-g,classification,16,random_stratified,8,3;17;39;62;78;89;99;109;110;127;131;158;166;169;175;205,-0.7577691572100653,0.7577691572100653,0.65234375,0.6106072698251469,,,0.03267996804788709
credit-g,classification,16,random_stratified,9,35;44;66;86;88;117;143;155;159;166;183;187;193;206;227;231,-0.7478869460050457,0.7478869460050457,0.64453125,0.5879344119567583,,,0.03265150496736169
credit-g,classification,16,random_stratified,10,6;41;64;68;89;97;104;120;164;174;194;204;206;210;237;246,-0.8081222473441763,0.8081222473441763,0.53515625,0.5118987158093303,,,0.032635501120239496
credit-g,classification,16,random_stratified,11,8;21;25;30;71;104;120;121;156;157;165;168;176;220;227;243,-0.814257914456324,0.814257914456324,0.671875,0.5711020822752666,,,0.032634370028972626
credit-g,classification,16,random_stratified,12,15;20;24;32;46;53;57;118;139;180;184;204;206;241;247;249,-0.7867699854395571,0.7867699854395571,0.66015625,0.6084306754697816,,,0.03257762407884002
credit-g,classification,16,random_stratified,13,1;13;16;54;67;86;88;103;110;111;135;178;186;221;223;224,-0.673750614741248,0.673750614741248,0.640625,0.615685989987666,,,0.03259873599745333
credit-g,classification,16,random_stratified,14,27;48;61;62;65;83;87;88;128;132;137;176;180;201;208;246,-0.7589534777116269,0.7589534777116269,0.6328125,0.586447072480592,,,0.03262814017944038
credit-g,classification,16,random_stratified,15,11;15;28;29;45;58;62;68;78;90;135;154;170;185;198;229,-0.8212078538512526,0.8212078538512526,0.5390625,0.5460712471885656,,,0.03256822004914284
credit-g,classification,16,random_stratified,16,20;27;67;69;78;104;143;150;168;173;193;211;212;229;242;246,-0.7623434658402986,0.7623434658402986,0.65234375,0.5795908002611913,,,0.03261366905644536
credit-g,classification,16,random_stratified,17,37;54;58;61;106;113;115;137;146;150;179;200;202;223;241;246,-0.8475217128246495,0.8475217128246495,0.58984375,0.5325763621853008,,,0.03265557182021439
credit-g,classification,16,random_stratified,18,8;15;19;32;49;59;64;70;72;81;85;121;160;173;242;244,-0.8454971302608401,0.8454971302608401,0.63671875,0.5255749836755423,,,0.032712546875700355
credit-g,classification,16,random_stratified,19,21;45;53;56;79;89;111;135;185;200;203;213;215;241;242;248,-0.8051889616954734,0.8051889616954734,0.6328125,0.5741130378001885,,,0.03246979205869138
credit-g,classification,16,additive,0,6;9;10;23;34;55;86;112;121;150;184;206;226;236;238;239,-0.6327159867286936,0.6327159867286936,0.66015625,0.6147790756729304,,,0.03267157590016723
credit-g,classification,16,k_center,0,0;4;5;18;20;40;56;97;103;116;131;140;203;218;230;245,-0.8509466811149771,0.8509466811149771,0.6640625,0.6167742871653485,,,0.032485073897987604
credit-g,classification,16,k_medoids,0,59;81;82;89;97;103;107;140;150;151;170;180;186;194;201;232,-0.6816893156070154,0.6816893156070154,0.70703125,0.5945367481680331,,,0.03251773398369551
credit-g,classification,16,nearest_query_cluster,0,2;27;35;36;73;101;118;140;141;149;158;196;209;214;237;255,-0.7315594631228706,0.7315594631228706,0.65234375,0.6569324530218386,,,0.04453428997658193
credit-g,classification,16,CRUMB-like,0,12;23;26;36;81;92;99;101;129;154;162;163;178;199;217;250,-0.770989068156051,0.770989068156051,0.63671875,0.5827468620764711,,,0.03268685890361667
