dataset,task,method,start_seed,selector_calls,start_selector_utility,final_selector_utility,selector_improvement,start_test_utility,final_test_utility,test_improvement,initial_indices,final_indices,trace_json
cpu-act,regression,random_mean,5201,257,-0.25691328614873615,-0.18392539175365533,0.07298789439508083,-0.3070467402645837,-0.18928899330464077,0.1177577469599429,9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;133;147;154;159;166;172;173;178;187;201;212;226;228;236;246;251;253,7;9;12;35;37;43;47;76;87;91;99;102;108;110;117;128;133;147;154;159;166;172;173;187;201;212;226;228;236;246;251;253,"[{""round"":1,""judge_fold"":null,""selection_score"":0.03852617366910871,""selected_full_gain"":0.03852617366910871,""selected_fold_gain"":[0.008031229752712254,0.07799219749069175,0.05251909536280569,0.00660827348369078],""moved"":true,""indices"":""9;12;29;35;37;47;87;91;99;102;108;110;117;120;128;133;147;154;159;166;172;173;178;187;201;212;226;228;236;246;251;253""},{""round"":2,""judge_fold"":null,""selection_score"":0.022720985222008716,""selected_full_gain"":0.022720985222008716,""selected_fold_gain"":[0.02473315379921262,0.03408103781731697,0.0011815155258916854,0.03436028585666198],""moved"":true,""indices"":""7;9;12;29;35;37;47;87;91;99;102;108;110;117;120;128;133;147;154;159;166;172;173;187;201;212;226;228;236;246;251;253""},{""round"":3,""judge_fold"":null,""selection_score"":0.00617231084656103,""selected_full_gain"":0.00617231084656103,""selected_fold_gain"":[0.004556348556786383,0.00010157659282025722,0.013658887490809901,0.005865467362075216],""moved"":true,""indices"":""7;9;12;29;35;37;47;76;87;91;99;102;108;110;117;128;133;147;154;159;166;172;173;187;201;212;226;228;236;246;251;253""},{""round"":4,""judge_fold"":null,""selection_score"":0.005568424657402371,""selected_full_gain"":0.005568424657402371,""selected_fold_gain"":[0.04231744325137965,-0.001516337651929489,-0.008884460585009829,-0.010658932087533629],""moved"":true,""indices"":""7;9;12;35;37;43;47;76;87;91;99;102;108;110;117;128;133;147;154;159;166;172;173;187;201;212;226;228;236;246;251;253""}]"
cpu-act,regression,row_mean,5201,257,-0.25691328614873615,-0.17154741746592905,0.0853658686828071,-0.3070467402645837,-0.22070755119393368,0.08633918907065,9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;133;147;154;159;166;172;173;178;187;201;212;226;228;236;246;251;253,9;12;29;35;37;47;87;91;96;99;102;108;110;116;117;120;128;133;147;159;164;166;172;173;207;212;226;228;236;246;251;253,"[{""round"":1,""judge_fold"":null,""selection_score"":0.0477646885957817,""selected_full_gain"":0.0477646885957817,""selected_fold_gain"":[-0.0033030985835822424,0.09686486811686404,0.07285041622779054,0.019552091549666945],""moved"":true,""indices"":""9;12;29;35;37;47;87;91;96;99;102;108;110;117;120;128;133;147;154;159;166;172;173;187;201;212;226;228;236;246;251;253""},{""round"":2,""judge_fold"":null,""selection_score"":0.026023755054615072,""selected_full_gain"":0.026023755054615072,""selected_fold_gain"":[0.03469883907315785,0.0385382526654226,0.003760443121941598,0.02736748581818485],""moved"":true,""indices"":""9;12;29;35;37;47;87;91;96;99;102;108;110;117;120;128;133;147;154;159;166;172;173;201;207;212;226;228;236;246;251;253""},{""round"":3,""judge_fold"":null,""selection_score"":0.005738239330903283,""selected_full_gain"":0.005738239330903283,""selected_fold_gain"":[0.018434253875341394,0.01889182409676035,-0.0036362058495735816,-0.01231654499174159],""moved"":true,""indices"":""9;12;29;35;37;47;87;91;96;99;102;108;110;116;117;120;128;133;147;154;159;166;172;173;207;212;226;228;236;246;251;253""},{""round"":4,""judge_fold"":null,""selection_score"":0.005839185701507044,""selected_full_gain"":0.005839185701507044,""selected_fold_gain"":[0.016999345486449102,-0.0033229583435285537,0.001106726134704361,0.007349722488522059],""moved"":true,""indices"":""9;12;29;35;37;47;87;91;96;99;102;108;110;116;117;120;128;133;147;159;164;166;172;173;207;212;226;228;236;246;251;253""}]"
cpu-act,regression,contextual_mean,5201,257,-0.25691328614873615,-0.16712448899607701,0.08978879715265914,-0.3070467402645837,-0.20676539697819302,0.10028134328639066,9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;133;147;154;159;166;172;173;178;187;201;212;226;228;236;246;251;253,9;12;29;35;37;47;91;96;99;102;103;108;110;117;120;127;128;133;138;147;159;166;172;187;201;212;215;228;236;246;251;253,"[{""round"":1,""judge_fold"":null,""selection_score"":0.045743807619883226,""selected_full_gain"":0.045743807619883226,""selected_fold_gain"":[0.021087112659366775,0.056992284556135475,0.07269534938619132,0.028414887202624],""moved"":true,""indices"":""9;12;29;35;37;47;91;96;99;102;108;110;117;120;127;128;133;147;159;166;172;173;178;187;201;212;226;228;236;246;251;253""},{""round"":2,""judge_fold"":null,""selection_score"":0.026801505723803465,""selected_full_gain"":0.026801505723803465,""selected_fold_gain"":[0.010177622776705336,0.05477460448732599,0.007883030209925118,0.036896748232884746],""moved"":true,""indices"":""9;12;29;35;37;47;91;96;99;102;103;108;110;117;120;127;128;133;147;159;166;172;178;187;201;212;226;228;236;246;251;253""},{""round"":3,""judge_fold"":null,""selection_score"":0.009564955543911152,""selected_full_gain"":0.009564955543911152,""selected_fold_gain"":[0.02921101018515318,3.081817790473451e-05,0.008039036985422271,-0.003709307648555288],""moved"":true,""indices"":""9;12;29;35;37;47;91;96;99;102;103;108;110;117;120;127;128;133;138;147;159;166;172;178;187;201;212;228;236;246;251;253""},{""round"":4,""judge_fold"":null,""selection_score"":0.007678528265061296,""selected_full_gain"":0.007678528265061296,""selected_fold_gain"":[-0.0054627251207862715,0.029537104503459866,0.002418885561365741,0.004969393260059407],""moved"":true,""indices"":""9;12;29;35;37;47;91;96;99;102;103;108;110;117;120;127;128;133;138;147;159;166;172;187;201;212;215;228;236;246;251;253""}]"
cpu-act,regression,random_rotating,5201,257,-0.25691328614873615,-0.17683198653692087,0.08008129961181529,-0.3070467402645837,-0.20996863196965573,0.09707810829492794,9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;133;147;154;159;166;172;173;178;187;201;212;226;228;236;246;251;253,3;9;12;29;35;37;40;47;91;96;99;102;108;110;117;120;128;133;147;159;172;173;196;201;212;226;228;232;236;246;251;253,"[{""round"":1,""judge_fold"":0,""selection_score"":0.01652343974746212,""selected_full_gain"":0.019342430345583944,""selected_fold_gain"":[0.02743224594732474,0.01869988941944506,0.019616269669752273,0.01125416015318903],""moved"":true,""indices"":""3;9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;133;147;154;159;166;172;173;178;201;212;226;228;236;246;251;253""},{""round"":2,""judge_fold"":1,""selection_score"":0.029621475230305117,""selected_full_gain"":0.03790025234143979,""selected_fold_gain"":[0.01715190490950852,0.05677203434500716,0.04849158925117969,0.02322093153022714],""moved"":true,""indices"":""3;9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;133;147;154;159;166;172;173;196;201;212;226;228;236;246;251;253""},{""round"":3,""judge_fold"":2,""selection_score"":0.011495904017415903,""selected_full_gain"":0.011459978045742558,""selected_fold_gain"":[0.012966725343752289,0.005798466274154812,0.011495904017415903,0.018326112096188785],""moved"":true,""indices"":""3;9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;133;147;154;159;172;173;196;201;212;226;228;232;236;246;251;253""},{""round"":4,""judge_fold"":3,""selection_score"":0.010589105564575124,""selected_full_gain"":0.011378638879048997,""selected_fold_gain"":[0.0014820871227520516,0.025308789219818523,0.006897732174804383,0.010589105564575124],""moved"":true,""indices"":""3;9;12;29;35;37;40;47;91;96;99;102;108;110;117;120;128;133;147;159;172;173;196;201;212;226;228;232;236;246;251;253""}]"
cpu-act,regression,row_rotating,5201,257,-0.25691328614873615,-0.1804313593280689,0.07648192682066726,-0.3070467402645837,-0.23150170026625494,0.07554503999832873,9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;133;147;154;159;166;172;173;178;187;201;212;226;228;236;246;251;253,9;12;29;35;37;47;60;91;96;99;102;108;110;117;120;127;128;133;147;154;159;166;173;179;187;201;212;226;228;246;251;253,"[{""round"":1,""judge_fold"":0,""selection_score"":0.015768936627196185,""selected_full_gain"":0.01633451381500714,""selected_fold_gain"":[0.01799481889375404,0.01912624194823831,0.014092586110427574,0.014087981822922674],""moved"":true,""indices"":""9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;133;147;154;159;166;172;173;179;187;201;212;226;228;236;246;251;253""},{""round"":2,""judge_fold"":1,""selection_score"":0.04039719510993306,""selected_full_gain"":0.04483965545138913,""selected_fold_gain"":[0.020416804006392425,0.05439813389353196,0.07204963775507112,0.028725143568335637],""moved"":true,""indices"":""9;12;29;35;37;47;91;96;99;102;108;110;117;120;127;128;133;147;154;159;166;173;179;187;201;212;226;228;236;246;251;253""},{""round"":3,""judge_fold"":2,""selection_score"":0.013188818375956257,""selected_full_gain"":0.015307757554270995,""selected_fold_gain"":[-0.012372861846620925,0.06225042067590203,0.013188818375956257,-0.0031571150384534785],""moved"":true,""indices"":""9;12;29;35;37;47;60;91;96;99;102;108;110;117;120;127;128;133;147;154;159;166;173;179;187;201;212;226;228;246;251;253""},{""round"":4,""judge_fold"":3,""selection_score"":-0.0022448159611949126,""selected_full_gain"":0.00229110691366205,""selected_fold_gain"":[-0.00033199396523028724,0.009855990087105415,0.002799090421416156,-0.0022448159611949126],""moved"":false,""indices"":""9;12;29;35;37;47;60;91;96;99;102;108;110;117;120;127;128;133;147;154;159;166;173;179;187;201;212;226;228;246;251;253""}]"
cpu-act,regression,contextual_rotating,5201,257,-0.25691328614873615,-0.164854042868527,0.09205924328020915,-0.3070467402645837,-0.21630812292850918,0.0907386173360745,9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;133;147;154;159;166;172;173;178;187;201;212;226;228;236;246;251;253,9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;130;133;147;159;172;187;201;204;207;212;226;228;229;236;246;251;253,"[{""round"":1,""judge_fold"":0,""selection_score"":0.03282377598057937,""selected_full_gain"":0.04695996760369972,""selected_fold_gain"":[0.03282377598057937,0.09916717991816285,0.03832888792942951,0.008263082542509959],""moved"":true,""indices"":""9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;133;147;159;166;172;173;178;187;201;207;212;226;228;236;246;251;253""},{""round"":2,""judge_fold"":1,""selection_score"":0.018959821105209718,""selected_full_gain"":0.027318400783153313,""selected_fold_gain"":[0.0281589206583015,0.018959821105209718,0.03246885395101212,0.02965548660288511],""moved"":true,""indices"":""9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;130;133;147;159;166;172;173;187;201;207;212;226;228;236;246;251;253""},{""round"":3,""judge_fold"":2,""selection_score"":0.012409096175362955,""selected_full_gain"":0.013445305474455438,""selected_fold_gain"":[0.007728540771435893,0.017818623529951533,0.012409096175362955,0.016888725978826624],""moved"":true,""indices"":""9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;130;133;147;159;166;172;187;201;207;212;226;228;229;236;246;251;253""},{""round"":4,""judge_fold"":3,""selection_score"":0.0038123074166179585,""selected_full_gain"":0.0043355694189006755,""selected_fold_gain"":[-0.004110854610280684,-0.0020394992697180536,0.017587276129852614,0.00593052402120367],""moved"":true,""indices"":""9;12;29;35;37;47;91;96;99;102;108;110;117;120;128;130;133;147;159;172;187;201;204;207;212;226;228;229;236;246;251;253""}]"
cpu-act,regression,random_mean,5202,257,-0.2673820808857633,-0.16341618588087048,0.10396589500489284,-0.3037466420739483,-0.20497191736308545,0.09877472471086285,11;12;37;39;40;51;52;65;73;75;89;95;102;106;114;116;123;140;142;148;154;170;176;181;188;190;191;206;208;211;247;253,12;37;39;40;43;51;52;65;73;75;84;95;102;106;114;116;123;130;140;142;148;154;170;181;188;190;191;206;211;247;252;253,"[{""round"":1,""judge_fold"":null,""selection_score"":0.06296152150442114,""selected_full_gain"":0.06296152150442114,""selected_fold_gain"":[0.053212175506992754,0.043644710896169,0.035297534982138085,0.11545651654779865],""moved"":true,""indices"":""11;12;37;39;40;43;51;52;65;73;75;95;102;106;114;116;123;140;142;148;154;170;176;181;188;190;191;206;208;211;247;253""},{""round"":2,""judge_fold"":null,""selection_score"":0.025194648801838193,""selected_full_gain"":0.025194648801838193,""selected_fold_gain"":[-0.0002824194095558674,0.02531335874490076,0.0274994501689248,0.04705988321588611],""moved"":true,""indices"":""12;37;39;40;43;51;52;65;73;75;95;102;106;114;116;123;130;140;142;148;154;170;176;181;188;190;191;206;208;211;247;253""},{""round"":3,""judge_fold"":null,""selection_score"":0.011571494277862193,""selected_full_gain"":0.011571494277862193,""selected_fold_gain"":[0.004036317408528056,0.004885360890465346,0.016939738380559344,0.025245850784055557],""moved"":true,""indices"":""12;37;39;40;43;51;52;65;73;75;95;102;106;114;116;123;130;140;142;148;154;170;176;181;188;190;191;206;211;247;252;253""},{""round"":4,""judge_fold"":null,""selection_score"":0.004238230420771316,""selected_full_gain"":0.004238230420771316,""selected_fold_gain"":[-0.010997606254283143,0.021470935701735194,-0.002203882922026862,0.003828530366959765],""moved"":true,""indices"":""12;37;39;40;43;51;52;65;73;75;84;95;102;106;114;116;123;130;140;142;148;154;170;181;188;190;191;206;211;247;252;253""}]"
cpu-act,regression,row_mean,5202,257,-0.2673820808857633,-0.1690931441595284,0.09828893672623493,-0.3037466420739483,-0.2111273798199931,0.0926192622539552,11;12;37;39;40;51;52;65;73;75;89;95;102;106;114;116;123;140;142;148;154;170;176;181;188;190;191;206;208;211;247;253,11;12;37;39;40;51;65;73;75;95;102;106;114;116;123;133;137;140;142;148;170;174;181;188;190;191;206;207;208;211;247;253,"[{""round"":1,""judge_fold"":null,""selection_score"":0.05552365076209603,""selected_full_gain"":0.05552365076209603,""selected_fold_gain"":[0.017621087107387218,0.03184616501776094,0.020306778345593218,0.14915533582979115],""moved"":true,""indices"":""11;12;37;39;40;51;52;65;73;75;95;102;106;114;116;123;137;140;142;148;154;170;176;181;188;190;191;206;208;211;247;253""},{""round"":2,""judge_fold"":null,""selection_score"":0.013211367969119536,""selected_full_gain"":0.013211367969119536,""selected_fold_gain"":[0.013226965671675112,0.024688028658358646,-0.0006835768522026053,0.014476260018954717],""moved"":true,""indices"":""11;12;37;39;40;51;52;65;73;75;95;102;106;114;116;123;137;140;142;148;170;176;181;188;190;191;206;207;208;211;247;253""},{""round"":3,""judge_fold"":null,""selection_score"":0.009173838643531579,""selected_full_gain"":0.009173838643531579,""selected_fold_gain"":[0.006159649629717268,0.006053485054858004,0.01586172151007434,0.009201496142808518],""moved"":true,""indices"":""11;12;37;39;40;51;65;73;75;95;102;106;114;116;123;133;137;140;142;148;170;176;181;188;190;191;206;207;208;211;247;253""},{""round"":4,""judge_fold"":null,""selection_score"":0.02038007935148778,""selected_full_gain"":0.02038007935148778,""selected_fold_gain"":[-0.012241601379039568,0.0453628742977949,0.03395065244427517,0.010414904892213916],""moved"":true,""indices"":""11;12;37;39;40;51;65;73;75;95;102;106;114;116;123;133;137;140;142;148;170;174;181;188;190;191;206;207;208;211;247;253""}]"
cpu-act,regression,contextual_mean,5202,257,-0.2673820808857633,-0.17104337218723578,0.09633870869852754,-0.3037466420739483,-0.1932221003286691,0.1105245417452792,11;12;37;39;40;51;52;65;73;75;89;95;102;106;114;116;123;140;142;148;154;170;176;181;188;190;191;206;208;211;247;253,11;12;37;39;40;48;51;52;65;73;75;99;102;106;114;123;140;142;148;154;170;181;188;190;191;206;207;208;211;230;247;253,"[{""round"":1,""judge_fold"":null,""selection_score"":0.06987207806770815,""selected_full_gain"":0.06987207806770815,""selected_fold_gain"":[0.025597211065054082,0.07864947166920289,0.02438942181043266,0.1391898192924334],""moved"":true,""indices"":""11;12;37;39;40;51;52;65;73;75;95;102;106;114;116;123;140;142;148;154;170;176;181;188;190;191;206;207;208;211;247;253""},{""round"":2,""judge_fold"":null,""selection_score"":0.01616163314801397,""selected_full_gain"":0.01616163314801397,""selected_fold_gain"":[0.003100902738388228,-0.003288539004810409,0.02750513147267461,0.045360831136797286],""moved"":true,""indices"":""11;12;37;39;40;51;52;65;73;75;95;99;102;106;114;123;140;142;148;154;170;176;181;188;190;191;206;207;208;211;247;253""},{""round"":3,""judge_fold"":null,""selection_score"":0.003635350783885577,""selected_full_gain"":0.003635350783885577,""selected_fold_gain"":[0.007344662093669269,0.007447019557376533,0.00472256620130998,-0.008375389099172598],""moved"":true,""indices"":""11;12;37;39;40;48;51;52;65;73;75;99;102;106;114;123;140;142;148;154;170;176;181;188;190;191;206;207;208;211;247;253""},{""round"":4,""judge_fold"":null,""selection_score"":0.00666964669891984,""selected_full_gain"":0.00666964669891984,""selected_fold_gain"":[-0.0070648956542637975,0.005090131427341826,0.00893549943142824,0.02627482749681756],""moved"":true,""indices"":""11;12;37;39;40;48;51;52;65;73;75;99;102;106;114;123;140;142;148;154;170;181;188;190;191;206;207;208;211;230;247;253""}]"
cpu-act,regression,random_rotating,5202,257,-0.2673820808857633,-0.18847937577168644,0.07890270511407688,-0.3037466420739483,-0.23252327702837272,0.07122336504557558,11;12;37;39;40;51;52;65;73;75;89;95;102;106;114;116;123;140;142;148;154;170;176;181;188;190;191;206;208;211;247;253,11;12;37;39;40;51;52;65;72;73;75;89;95;102;106;116;123;136;140;142;148;154;170;176;181;188;190;191;196;206;211;247,"[{""round"":1,""judge_fold"":0,""selection_score"":0.028972166501225066,""selected_full_gain"":0.029646375161571925,""selected_fold_gain"":[0.029351400737325478,0.006017904566925303,0.00900607428050107,0.07189252065624882],""moved"":true,""indices"":""11;12;37;39;40;51;52;65;73;75;89;95;102;106;114;116;123;140;142;148;154;170;176;181;188;190;191;194;206;208;211;247""},{""round"":2,""judge_fold"":1,""selection_score"":0.015594743302217476,""selected_full_gain"":0.0192917002601575,""selected_fold_gain"":[-0.009235708770052836,0.026209665215072397,-0.000247548276254006,0.05626748695295927],""moved"":true,""indices"":""11;12;37;39;40;51;52;65;73;75;89;95;102;106;114;116;123;140;142;148;154;170;176;181;188;190;191;196;206;208;211;247""},{""round"":3,""judge_fold"":2,""selection_score"":0.021686023847932907,""selected_full_gain"":0.02385409764236862,""selected_fold_gain"":[0.00359186662477165,0.04107344594251269,0.02648352304739951,0.02039275897651438],""moved"":true,""indices"":""11;12;37;39;40;51;52;65;73;75;89;95;102;106;114;116;123;136;140;142;148;154;170;176;181;188;190;191;196;206;211;247""},{""round"":4,""judge_fold"":3,""selection_score"":0.0038547836001603477,""selected_full_gain"":0.0061105320499788285,""selected_fold_gain"":[-0.011565133626157326,0.025227458527154134,-0.002097974100515765,0.01338821841583146],""moved"":true,""indices"":""11;12;37;39;40;51;52;65;72;73;75;89;95;102;106;116;123;136;140;142;148;154;170;176;181;188;190;191;196;206;211;247""}]"
