dataset,task,method,start_seed,selector_calls,start_selector_utility,final_selector_utility,selector_improvement,start_test_utility,final_test_utility,test_improvement,initial_indices,final_indices,trace_json
credit-approval,classification,random_mean,5201,257,-0.37080946016334126,-0.2746330155438831,0.09617644461945818,-0.3777955963913838,-0.3631684361291484,0.014627160262235428,9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;134;171;172;173;179;185;195;212;218;221;236;238;239;245;250;253;254,9;39;45;52;65;68;71;80;90;92;121;124;125;130;134;164;171;172;173;179;195;212;218;221;227;236;238;239;245;250;253;254,"[{""round"":1,""judge_fold"":null,""selection_score"":0.06732530428550498,""selected_full_gain"":0.06732530428550498,""selected_fold_gain"":[0.09585883281626723,0.10799869355984726,0.016804279023828556,0.04863941174207692],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;121;124;125;130;134;171;172;173;179;185;195;212;218;221;236;238;239;245;250;253;254""},{""round"":2,""judge_fold"":null,""selection_score"":0.018013627596234538,""selected_full_gain"":0.018013627596234538,""selected_fold_gain"":[0.07061750283821627,0.06252801910126782,-0.021235480826439834,-0.03985553072810616],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;92;121;124;125;130;134;171;172;173;179;195;212;218;221;236;238;239;245;250;253;254""},{""round"":3,""judge_fold"":null,""selection_score"":0.00408495619237359,""selected_full_gain"":0.00408495619237359,""selected_fold_gain"":[-0.006266656120399561,0.01568214621949504,0.010249691401380712,-0.003325356730982054],""moved"":true,""indices"":""9;39;45;52;65;68;71;73;80;90;92;121;124;125;130;134;171;172;173;179;195;212;218;221;227;236;238;239;245;250;253;254""},{""round"":4,""judge_fold"":null,""selection_score"":0.0067525565453450676,""selected_full_gain"":0.0067525565453450676,""selected_fold_gain"":[-0.0368544675369038,-0.01150050099882216,0.04079649230635668,0.03456870241074966],""moved"":true,""indices"":""9;39;45;52;65;68;71;80;90;92;121;124;125;130;134;164;171;172;173;179;195;212;218;221;227;236;238;239;245;250;253;254""}]"
credit-approval,classification,row_mean,5201,257,-0.37080946016334126,-0.26694102291269295,0.10386843725064832,-0.3777955963913838,-0.35718872147308145,0.020606874918302376,9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;134;171;172;173;179;185;195;212;218;221;236;238;239;245;250;253;254,9;39;42;45;52;65;68;71;73;76;80;90;101;121;125;134;160;172;173;179;195;218;221;230;232;236;238;239;245;250;253;254,"[{""round"":1,""judge_fold"":null,""selection_score"":0.0748466966389455,""selected_full_gain"":0.0748466966389455,""selected_fold_gain"":[0.0630671231698583,0.09201186590319899,0.0439724204169443,0.10033537706578022],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;134;172;173;179;185;195;212;218;221;230;236;238;239;245;250;253;254""},{""round"":2,""judge_fold"":null,""selection_score"":0.013383847889785083,""selected_full_gain"":0.013383847889785083,""selected_fold_gain"":[0.03175393189806308,0.0278281100281082,0.0019102690609560935,-0.007956919427987152],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;76;80;90;101;121;124;125;134;172;173;179;185;195;218;221;230;236;238;239;245;250;253;254""},{""round"":3,""judge_fold"":null,""selection_score"":0.012558851942782778,""selected_full_gain"":0.012558851942782778,""selected_fold_gain"":[0.0751059409206205,0.029463634175897424,0.002924030207496653,-0.057258197532883304],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;76;80;90;101;121;124;125;134;172;173;179;195;218;221;230;232;236;238;239;245;250;253;254""},{""round"":4,""judge_fold"":null,""selection_score"":0.003079040779134956,""selected_full_gain"":0.003079040779134956,""selected_fold_gain"":[-0.015177045004331702,0.0009239444091291849,0.019042493677937977,0.00752677003380442],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;76;80;90;101;121;125;134;160;172;173;179;195;218;221;230;232;236;238;239;245;250;253;254""}]"
credit-approval,classification,contextual_mean,5201,257,-0.37080946016334126,-0.2777266397927338,0.09308282037060744,-0.3777955963913838,-0.3489433626939639,0.028852233697419905,9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;134;171;172;173;179;185;195;212;218;221;236;238;239;245;250;253;254,9;39;42;45;52;67;68;71;73;80;90;101;121;124;143;159;171;172;173;179;195;212;218;221;224;236;238;239;245;250;253;254,"[{""round"":1,""judge_fold"":null,""selection_score"":0.047352573300181555,""selected_full_gain"":0.047352573300181555,""selected_fold_gain"":[0.05335038482292098,0.09346653121402781,0.026243445038359015,0.016349932125418076],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;134;159;171;172;173;179;195;212;218;221;236;238;239;245;250;253;254""},{""round"":2,""judge_fold"":null,""selection_score"":0.017605888111476287,""selected_full_gain"":0.017605888111476287,""selected_fold_gain"":[0.021146389376200725,0.01876777580371386,-0.01124315060724368,0.04175253787323424],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;101;121;124;134;143;159;171;172;173;179;195;212;218;221;236;238;239;245;250;253;254""},{""round"":3,""judge_fold"":null,""selection_score"":0.014835181432917621,""selected_full_gain"":0.014835181432917621,""selected_fold_gain"":[0.03217385125119654,-0.012220884094513995,0.03000639426950072,0.009381364305487194],""moved"":true,""indices"":""9;39;42;45;52;65;67;68;71;73;80;90;101;121;124;143;159;171;172;173;179;195;212;218;221;236;238;239;245;250;253;254""},{""round"":4,""judge_fold"":null,""selection_score"":0.013289177526031981,""selected_full_gain"":0.013289177526031981,""selected_fold_gain"":[0.0690054415501089,0.011791296462343115,-0.010635189591865823,-0.017004838316457827],""moved"":true,""indices"":""9;39;42;45;52;67;68;71;73;80;90;101;121;124;143;159;171;172;173;179;195;212;218;221;224;236;238;239;245;250;253;254""}]"
credit-approval,classification,random_rotating,5201,257,-0.37080946016334126,-0.2698780080366806,0.10093145212666066,-0.3777955963913838,-0.35246446145017174,0.025331134941212086,9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;134;171;172;173;179;185;195;212;218;221;236;238;239;245;250;253;254,9;39;42;45;59;65;68;71;73;80;90;101;115;121;124;125;144;171;172;173;179;185;195;218;221;230;236;238;239;245;250;254,"[{""round"":1,""judge_fold"":0,""selection_score"":0.060235851278408574,""selected_full_gain"":0.061946429871690634,""selected_fold_gain"":[0.06707816565153679,0.09452976942671787,0.03821317324586751,0.047964611162640336],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;134;144;171;172;173;179;185;195;212;218;221;236;238;239;245;250;254""},{""round"":2,""judge_fold"":1,""selection_score"":0.012065193695506357,""selected_full_gain"":0.012758330626375658,""selected_fold_gain"":[0.0056761860324417435,0.014837741418983585,0.020551564401100147,0.009967830652977183],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;101;115;121;124;125;144;171;172;173;179;185;195;212;218;221;236;238;239;245;250;254""},{""round"":3,""judge_fold"":2,""selection_score"":0.019328750752883928,""selected_full_gain"":0.020001022508410293,""selected_fold_gain"":[0.04458372840696234,0.01367261759205457,0.019328750752883928,0.0024189932817403337],""moved"":true,""indices"":""9;39;42;45;59;65;68;71;73;80;90;101;115;121;124;125;144;171;172;173;179;185;195;212;218;221;236;238;239;245;250;254""},{""round"":4,""judge_fold"":3,""selection_score"":0.0062211068015832205,""selected_full_gain"":0.006225669120184074,""selected_fold_gain"":[0.007867789674403936,0.0298336738013516,-0.019038143071005875,0.006239356075986469],""moved"":true,""indices"":""9;39;42;45;59;65;68;71;73;80;90;101;115;121;124;125;144;171;172;173;179;185;195;218;221;230;236;238;239;245;250;254""}]"
credit-approval,classification,row_rotating,5201,257,-0.37080946016334126,-0.2657754583473274,0.10503400181601386,-0.3777955963913838,-0.34497020687826546,0.032825389513118364,9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;134;171;172;173;179;185;195;212;218;221;236;238;239;245;250;253;254,9;45;52;65;68;71;73;78;80;90;101;121;124;134;160;171;172;173;179;195;198;212;218;221;224;236;238;239;245;250;253;254,"[{""round"":1,""judge_fold"":0,""selection_score"":0.0479974976891993,""selected_full_gain"":0.051703979232212094,""selected_fold_gain"":[0.0628234238612504,0.07735259302488834,0.048392223379099125,0.018247676663610435],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;134;171;172;173;179;195;198;212;218;221;236;238;239;245;250;253;254""},{""round"":2,""judge_fold"":1,""selection_score"":0.024724889282384838,""selected_full_gain"":0.030627981068876042,""selected_fold_gain"":[0.02155184928704934,0.04833725642834963,0.007703719137249515,0.04491909942285566],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;78;80;90;101;121;124;134;171;172;173;179;195;198;212;218;221;236;238;239;245;250;253;254""},{""round"":3,""judge_fold"":2,""selection_score"":0.001775157062103211,""selected_full_gain"":0.00795609587367685,""selected_fold_gain"":[0.03727116867691316,0.010616489558691322,0.001775157062103211,-0.017838431803000265],""moved"":true,""indices"":""9;39;45;52;65;68;71;73;78;80;90;101;121;124;134;171;172;173;179;195;198;212;218;221;224;236;238;239;245;250;253;254""},{""round"":4,""judge_fold"":3,""selection_score"":0.014743883950934266,""selected_full_gain"":0.01474594564124887,""selected_fold_gain"":[0.01406048778547464,0.026295020767523658,0.0038761432998044992,0.014752130712192613],""moved"":true,""indices"":""9;45;52;65;68;71;73;78;80;90;101;121;124;134;160;171;172;173;179;195;198;212;218;221;224;236;238;239;245;250;253;254""}]"
credit-approval,classification,contextual_rotating,5201,257,-0.37080946016334126,-0.2575902145439439,0.11321924561939739,-0.3777955963913838,-0.3807344689301824,-0.002938872538798598,9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;134;171;172;173;179;185;195;212;218;221;236;238;239;245;250;253;254,9;39;42;45;52;65;68;71;73;80;90;101;124;125;160;171;172;173;179;184;195;212;213;218;221;236;238;239;244;245;250;254,"[{""round"":1,""judge_fold"":0,""selection_score"":0.02711523862390362,""selected_full_gain"":0.04249590423574545,""selected_fold_gain"":[0.08863790107127073,0.04040005933206875,0.042362737842099873,-0.0014170813024577678],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;134;171;172;173;179;184;195;212;218;221;236;238;239;245;250;253;254""},{""round"":2,""judge_fold"":1,""selection_score"":0.031043169251903414,""selected_full_gain"":0.033307571755684995,""selected_fold_gain"":[0.04678368321144938,0.040100779267029985,0.027557921259551282,0.018787903284709584],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;101;121;124;125;171;172;173;179;184;195;212;218;221;236;238;239;244;245;250;253;254""},{""round"":3,""judge_fold"":2,""selection_score"":0.016613669970516037,""selected_full_gain"":0.018908974291909464,""selected_fold_gain"":[0.035904440364059875,0.016476723788194314,0.02579488725608961,-0.002540154240706083],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;101;124;125;160;171;172;173;179;184;195;212;218;221;236;238;239;244;245;250;253;254""},{""round"":4,""judge_fold"":3,""selection_score"":0.002872247379057289,""selected_full_gain"":0.01850679533605748,""selected_fold_gain"":[-0.014920740420222345,0.0077663160743201565,0.015771166483074056,0.06541043920705819],""moved"":true,""indices"":""9;39;42;45;52;65;68;71;73;80;90;101;124;125;160;171;172;173;179;184;195;212;213;218;221;236;238;239;244;245;250;254""}]"
credit-approval,classification,random_mean,5202,257,-0.5496079613668148,-0.30708262000938014,0.24252534135743464,-0.5696197124675872,-0.38642346981630404,0.1831962426512832,2;10;18;20;33;34;40;51;55;78;110;112;126;134;135;142;145;149;153;154;163;165;176;182;183;187;215;217;230;237;241;247,2;10;18;20;34;40;51;55;78;110;112;134;135;142;145;149;157;160;163;165;176;182;183;187;215;217;221;230;237;239;241;247,"[{""round"":1,""judge_fold"":null,""selection_score"":0.0618524411339309,""selected_full_gain"":0.0618524411339309,""selected_fold_gain"":[0.08453729291606721,0.030291958509139016,0.0696929143353422,0.0628875987751758],""moved"":true,""indices"":""2;10;18;20;33;34;40;51;55;78;110;112;126;134;135;142;145;149;153;157;163;165;176;182;183;187;215;217;230;237;241;247""},{""round"":2,""judge_fold"":null,""selection_score"":0.06505291147145575,""selected_full_gain"":0.06505291147145575,""selected_fold_gain"":[0.07364037387514727,0.05993605872366392,0.061640046485853195,0.06499516680115858],""moved"":true,""indices"":""2;10;18;20;33;34;40;51;55;78;110;112;126;134;135;142;145;149;157;160;163;165;176;182;183;187;215;217;230;237;241;247""},{""round"":3,""judge_fold"":null,""selection_score"":0.09053621106455906,""selected_full_gain"":0.09053621106455906,""selected_fold_gain"":[0.11672403663611952,0.07090307631521403,0.09293664900987253,0.08158108229703032],""moved"":true,""indices"":""2;10;18;20;34;40;51;55;78;110;112;126;134;135;142;145;149;157;160;163;165;176;182;183;187;215;217;221;230;237;241;247""},{""round"":4,""judge_fold"":null,""selection_score"":0.02508377768748893,""selected_full_gain"":0.02508377768748893,""selected_fold_gain"":[-0.003909857541450956,0.030437487705705146,0.025373869053214815,0.04843361153248649],""moved"":true,""indices"":""2;10;18;20;34;40;51;55;78;110;112;134;135;142;145;149;157;160;163;165;176;182;183;187;215;217;221;230;237;239;241;247""}]"
credit-approval,classification,row_mean,5202,257,-0.5496079613668148,-0.29964777448860036,0.24996018687821442,-0.5696197124675872,-0.370719679292564,0.19890003317502325,2;10;18;20;33;34;40;51;55;78;110;112;126;134;135;142;145;149;153;154;163;165;176;182;183;187;215;217;230;237;241;247,2;10;18;20;40;51;55;78;110;112;126;134;135;142;145;149;153;163;176;180;182;183;184;187;215;217;221;230;237;241;244;247,"[{""round"":1,""judge_fold"":null,""selection_score"":0.10910668317253913,""selected_full_gain"":0.10910668317253913,""selected_fold_gain"":[0.149554394239915,0.06140822514362093,0.1251126722619204,0.10035144104470084],""moved"":true,""indices"":""2;10;18;20;33;34;40;51;55;78;110;112;126;134;135;142;145;149;153;163;165;176;182;183;184;187;215;217;230;237;241;247""},{""round"":2,""judge_fold"":null,""selection_score"":0.0437512011333151,""selected_full_gain"":0.0437512011333151,""selected_fold_gain"":[0.02379463863512271,0.04194127468276365,0.05386194674227235,0.05540694447310157],""moved"":true,""indices"":""2;10;18;20;33;40;51;55;78;110;112;126;134;135;142;145;149;153;163;165;176;180;182;183;184;187;215;217;230;237;241;247""},{""round"":3,""judge_fold"":null,""selection_score"":0.05852116715648764,""selected_full_gain"":0.05852116715648764,""selected_fold_gain"":[0.05946660388184305,0.004516089497700382,0.09069773326876995,0.07940424197763729],""moved"":true,""indices"":""2;10;18;20;40;51;55;78;110;112;126;134;135;142;145;149;153;163;165;176;180;182;183;184;187;215;217;221;230;237;241;247""},{""round"":4,""judge_fold"":null,""selection_score"":0.03858113541587255,""selected_full_gain"":0.03858113541587255,""selected_fold_gain"":[0.022043292215124133,0.09285316862455828,0.04932566052082321,-0.009897579697015546],""moved"":true,""indices"":""2;10;18;20;40;51;55;78;110;112;126;134;135;142;145;149;153;163;176;180;182;183;184;187;215;217;221;230;237;241;244;247""}]"
credit-approval,classification,contextual_mean,5202,257,-0.5496079613668148,-0.302778020278974,0.2468299410878408,-0.5696197124675872,-0.413806491789708,0.15581322067787923,2;10;18;20;33;34;40;51;55;78;110;112;126;134;135;142;145;149;153;154;163;165;176;182;183;187;215;217;230;237;241;247,2;9;10;13;18;20;33;34;40;51;78;85;110;112;135;142;145;149;153;163;165;176;182;183;187;215;217;230;237;241;247;250,"[{""round"":1,""judge_fold"":null,""selection_score"":0.11432122620124252,""selected_full_gain"":0.11432122620124252,""selected_fold_gain"":[0.05291811030144067,0.14413182664609203,0.17614314849266954,0.0840918193647684],""moved"":true,""indices"":""2;10;13;18;20;33;34;40;51;55;78;110;112;126;134;135;142;145;149;153;163;165;176;182;183;187;215;217;230;237;241;247""},{""round"":2,""judge_fold"":null,""selection_score"":0.059897758182412164,""selected_full_gain"":0.059897758182412164,""selected_fold_gain"":[0.14010359509516856,0.013121776648537198,0.03002709088175093,0.056338570104191854],""moved"":true,""indices"":""2;9;10;13;18;20;33;34;40;51;78;110;112;126;134;135;142;145;149;153;163;165;176;182;183;187;215;217;230;237;241;247""},{""round"":3,""judge_fold"":null,""selection_score"":0.05340151428452988,""selected_full_gain"":0.05340151428452988,""selected_fold_gain"":[0.02759297425662799,0.05158716302098332,0.05329582609834005,0.08113009376216807],""moved"":true,""indices"":""2;9;10;13;18;20;33;34;40;51;78;110;112;134;135;142;145;149;153;163;165;176;182;183;187;215;217;230;237;241;247;250""},{""round"":4,""judge_fold"":null,""selection_score"":0.01920944241965622,""selected_full_gain"":0.01920944241965622,""selected_fold_gain"":[0.03496361476723242,0.025840429816256727,-0.011859605472331558,0.027893330567467456],""moved"":true,""indices"":""2;9;10;13;18;20;33;34;40;51;78;85;110;112;135;142;145;149;153;163;165;176;182;183;187;215;217;230;237;241;247;250""}]"
credit-approval,classification,random_rotating,5202,257,-0.5496079613668148,-0.3474454197972971,0.20216254156951768,-0.5696197124675872,-0.4070392791831585,0.16258043328442873,2;10;18;20;33;34;40;51;55;78;110;112;126;134;135;142;145;149;153;154;163;165;176;182;183;187;215;217;230;237;241;247,2;18;20;33;40;51;55;78;110;112;119;126;129;134;135;145;149;153;163;165;176;179;182;183;187;191;215;217;230;237;241;247,"[{""round"":1,""judge_fold"":0,""selection_score"":0.05977941553258492,""selected_full_gain"":0.07060827879720877,""selected_fold_gain"":[0.05977941553258492,0.07172306826424907,0.0806617017147418,0.07026892967725973],""moved"":true,""indices"":""2;10;18;20;33;34;40;51;55;78;110;112;126;134;135;145;149;153;154;163;165;176;182;183;187;191;215;217;230;237;241;247""},{""round"":2,""judge_fold"":1,""selection_score"":0.03425143552555876,""selected_full_gain"":0.055463788241660206,""selected_fold_gain"":[0.07471630279175367,0.03425143552555876,0.05494308386748392,0.05794433078184458],""moved"":true,""indices"":""2;10;18;20;33;40;51;55;78;110;112;126;134;135;145;149;153;154;163;165;176;179;182;183;187;191;215;217;230;237;241;247""},{""round"":3,""judge_fold"":2,""selection_score"":0.013717604963169538,""selected_full_gain"":0.01928679345237777,""selected_fold_gain"":[0.014118966639948383,-0.01865864476670054,0.0359943589200023,0.04569249301626077],""moved"":true,""indices"":""2;18;20;33;40;51;55;78;110;112;126;129;134;135;145;149;153;154;163;165;176;179;182;183;187;191;215;217;230;237;241;247""},{""round"":4,""judge_fold"":3,""selection_score"":0.030782803585293173,""selected_full_gain"":0.05680368107827094,""selected_fold_gain"":[0.062041067360996016,0.07391911810933133,0.060471735257463466,0.030782803585293173],""moved"":true,""indices"":""2;18;20;33;40;51;55;78;110;112;119;126;129;134;135;145;149;153;163;165;176;179;182;183;187;191;215;217;230;237;241;247""}]"
