task_type,rho,method,episodes,loss_mean,loss_ci_low,loss_ci_high
classification,0.0,M0 raw,420,0.6673647074191523,0.6602870812121419,0.6749445137364075
classification,0.0,M1 robust,420,0.669544391209472,0.6624814365523212,0.6765351536291442
classification,0.0,M2 rank,420,0.6582772129441161,0.6514043591955676,0.6649984152558144
classification,0.0,M3 augmentation,420,0.6568363441282773,0.6507731594288683,0.6629661953343281
classification,0.0,M4 50/50,420,0.6510906385643087,0.6448617642007494,0.6570731377742255
classification,0.0,M4 tuned fixed,420,0.650254451572239,0.6441971815929078,0.6561508588154132
classification,0.0,M5 learned gate,420,0.6502614234834403,0.6441527977431876,0.6562515164498516
classification,0.0,Oracle gate,420,0.6455523504319306,0.639624337366975,0.6514816764368223
classification,0.1,M0 raw,420,0.6698012590016076,0.6629415175862329,0.6767557053196439
classification,0.1,M1 robust,420,0.6724175846727766,0.6650749941982019,0.6798461981592185
classification,0.1,M2 rank,420,0.6611574262037818,0.6544200145314605,0.6679987358759996
classification,0.1,M3 augmentation,420,0.6598494237154768,0.6536932542233936,0.6659491708223623
classification,0.1,M4 50/50,420,0.6543102222141892,0.6479377215309693,0.6606422816454846
classification,0.1,M4 tuned fixed,420,0.6535248991161006,0.6472625292236052,0.6599538445098936
classification,0.1,M5 learned gate,420,0.6535588710088405,0.647310621678451,0.6599228071065025
classification,0.1,Oracle gate,420,0.6489695193403614,0.6426747325115656,0.6553465862754714
classification,0.25,M0 raw,420,0.6669220467143427,0.6602598774974459,0.6737155814229712
classification,0.25,M1 robust,420,0.6686159815775226,0.6616877612870791,0.6754004239332231
classification,0.25,M2 rank,420,0.6609383243343125,0.654067210440701,0.6681343473204101
classification,0.25,M3 augmentation,420,0.6569780508400133,0.6507794107897039,0.6632076001618028
classification,0.25,M4 50/50,420,0.6509910208100622,0.6450604236129225,0.6571073116337683
classification,0.25,M4 tuned fixed,420,0.6504537177740075,0.6443362152643087,0.6566904722031608
classification,0.25,M5 learned gate,420,0.6503810847541066,0.6445673650332135,0.6564124776003789
classification,0.25,Oracle gate,420,0.6458275771703295,0.6397964428031109,0.6518566964265948
classification,0.5,M0 raw,420,0.667741616749375,0.6602536230732896,0.675559146858836
classification,0.5,M1 robust,420,0.6720441836199781,0.6640641118688403,0.680597288039481
classification,0.5,M2 rank,420,0.6547024706233333,0.6477491279087235,0.6614148455117848
classification,0.5,M3 augmentation,420,0.6577173285398726,0.6513405285026262,0.6640440419988999
classification,0.5,M4 50/50,420,0.6481572435018848,0.6417723857516556,0.6546233938595251
classification,0.5,M4 tuned fixed,420,0.6472989783461882,0.6409018443204674,0.6537851387161367
