task_type,context_size,feature_count,rho,method,mean_loss,episodes
classification,64,8,0.0,best_individual_oracle,0.6091175698922229,240
classification,64,8,0.0,competence,0.6280818699376357,240
classification,64,8,0.0,fixed,0.6305271303140577,240
classification,64,8,0.0,matched_family,0.6450969659410929,240
classification,64,8,0.0,shape_family,0.6416791818961041,240
classification,64,8,0.0,uniform,0.6336648482649182,240
classification,64,8,0.25,best_individual_oracle,0.6052635452209505,240
classification,64,8,0.25,competence,0.6217209988763667,240
classification,64,8,0.25,fixed,0.6252058272687716,240
classification,64,8,0.25,matched_family,0.6400617714679563,240
classification,64,8,0.25,shape_family,0.6328606904171914,240
classification,64,8,0.25,uniform,0.6280099061675724,240
classification,64,8,0.5,best_individual_oracle,0.606251178535329,240
classification,64,8,0.5,competence,0.6250279506497193,240
classification,64,8,0.5,fixed,0.6272734207801789,240
classification,64,8,0.5,matched_family,0.6425076731569187,240
classification,64,8,0.5,shape_family,0.6302029955917876,240
classification,64,8,0.5,uniform,0.6310995484889529,240
classification,64,8,0.75,best_individual_oracle,0.6030629877852877,240
classification,64,8,0.75,competence,0.6166951765978387,240
classification,64,8,0.75,fixed,0.6235027636911566,240
classification,64,8,0.75,matched_family,0.6359684386053991,240
classification,64,8,0.75,shape_family,0.6199100998805275,240
classification,64,8,0.75,uniform,0.625058719767733,240
classification,64,8,1.0,best_individual_oracle,0.6068378874543672,240
classification,64,8,1.0,competence,0.6238950314586307,240
classification,64,8,1.0,fixed,0.6305418321367381,240
classification,64,8,1.0,matched_family,0.6387627088116333,240
classification,64,8,1.0,shape_family,0.6209423348645806,240
classification,64,8,1.0,uniform,0.63357732296971,240
classification,64,12,0.0,best_individual_oracle,0.6297341755163673,240
classification,64,12,0.0,competence,0.646508586866495,240
classification,64,12,0.0,fixed,0.6459547401704114,240
classification,64,12,0.0,matched_family,0.6774618511176506,240
classification,64,12,0.0,shape_family,0.6628602798055164,240
classification,64,12,0.0,uniform,0.6520288983788682,240
classification,64,12,0.25,best_individual_oracle,0.6207926446364368,240
classification,64,12,0.25,competence,0.6375964161768829,240
classification,64,12,0.25,fixed,0.636948545035619,240
classification,64,12,0.25,matched_family,0.664809192630505,240
classification,64,12,0.25,shape_family,0.6479543573634151,240
classification,64,12,0.25,uniform,0.6420445317725492,240
classification,64,12,0.5,best_individual_oracle,0.628664609997898,240
classification,64,12,0.5,competence,0.6430362964782519,240
classification,64,12,0.5,fixed,0.6440730675586557,240
classification,64,12,0.5,matched_family,0.6734179063360439,240
classification,64,12,0.5,shape_family,0.6492532600897061,240
classification,64,12,0.5,uniform,0.6487359245332656,240
classification,64,12,0.75,best_individual_oracle,0.6247531302689658,240
classification,64,12,0.75,competence,0.6392450989800833,240
classification,64,12,0.75,fixed,0.6427092939255092,240
classification,64,12,0.75,matched_family,0.6674482424338665,240
classification,64,12,0.75,shape_family,0.6435847515699021,240
classification,64,12,0.75,uniform,0.6480509871095365,240
classification,64,12,1.0,best_individual_oracle,0.6251561375347442,240
classification,64,12,1.0,competence,0.637293444025802,240
classification,64,12,1.0,fixed,0.6401353867369648,240
classification,64,12,1.0,matched_family,0.6652702283987187,240
classification,64,12,1.0,shape_family,0.6361181311475528,240
classification,64,12,1.0,uniform,0.6447264691766805,240
classification,96,8,0.0,best_individual_oracle,0.5846627859836384,240
classification,96,8,0.0,competence,0.596249602576997,240
classification,96,8,0.0,fixed,0.6062826763414014,240
classification,96,8,0.0,matched_family,0.6137762528440217,240
classification,96,8,0.0,shape_family,0.6158097551108042,240
classification,96,8,0.0,uniform,0.6080585189509662,240
classification,96,8,0.25,best_individual_oracle,0.5922583358674847,240
classification,96,8,0.25,competence,0.6035054193586326,240
classification,96,8,0.25,fixed,0.6110209778093658,240
classification,96,8,0.25,matched_family,0.6250624567977018,240
classification,96,8,0.25,shape_family,0.6158414137265797,240
classification,96,8,0.25,uniform,0.61335100475557,240
classification,96,8,0.5,best_individual_oracle,0.5799266465524107,240
classification,96,8,0.5,competence,0.5891217483055345,240
classification,96,8,0.5,fixed,0.6022826452710562,240
classification,96,8,0.5,matched_family,0.6076178566828753,240
classification,96,8,0.5,shape_family,0.5983426405042913,240
classification,96,8,0.5,uniform,0.6029774463847436,240
classification,96,8,0.75,best_individual_oracle,0.5883842839539565,240
classification,96,8,0.75,competence,0.6004115998478322,240
classification,96,8,0.75,fixed,0.6108142773662906,240
classification,96,8,0.75,matched_family,0.6236697381824545,240
classification,96,8,0.75,shape_family,0.6052064394179902,240
classification,96,8,0.75,uniform,0.6129902036539202,240
classification,96,8,1.0,best_individual_oracle,0.5870442187844713,240
classification,96,8,1.0,competence,0.5964476518889487,240
classification,96,8,1.0,fixed,0.6082105436495553,240
classification,96,8,1.0,matched_family,0.6171586571597684,240
classification,96,8,1.0,shape_family,0.5963245769720269,240
classification,96,8,1.0,uniform,0.6092977382980151,240
classification,96,12,0.0,best_individual_oracle,0.6117798088972038,240
classification,96,12,0.0,competence,0.6230802771726197,240
classification,96,12,0.0,fixed,0.6264081697142507,240
classification,96,12,0.0,matched_family,0.6601799972482535,240
classification,96,12,0.0,shape_family,0.6458364527711172,240
classification,96,12,0.0,uniform,0.6311533525517222,240
classification,96,12,0.25,best_individual_oracle,0.6094016800564439,240
classification,96,12,0.25,competence,0.6169746677138611,240
classification,96,12,0.25,fixed,0.6244353439694309,240
classification,96,12,0.25,matched_family,0.6528316487437745,240
classification,96,12,0.25,shape_family,0.637738111205582,240
classification,96,12,0.25,uniform,0.6293464966237697,240
classification,96,12,0.5,best_individual_oracle,0.6131781728267007,240
classification,96,12,0.5,competence,0.6228820778231126,240
classification,96,12,0.5,fixed,0.6277990820388514,240
classification,96,12,0.5,matched_family,0.6567927481282844,240
classification,96,12,0.5,shape_family,0.6333829695383858,240
classification,96,12,0.5,uniform,0.6326418674545582,240
classification,96,12,0.75,best_individual_oracle,0.6100731180250302,240
classification,96,12,0.75,competence,0.6202805792794817,240
classification,96,12,0.75,fixed,0.625785625025733,240
classification,96,12,0.75,matched_family,0.6580872407708437,240
classification,96,12,0.75,shape_family,0.6251843331223254,240
classification,96,12,0.75,uniform,0.6311918970990003,240
classification,96,12,1.0,best_individual_oracle,0.6125508676204567,240
classification,96,12,1.0,competence,0.6219398844935345,240
classification,96,12,1.0,fixed,0.6293731569074777,240
classification,96,12,1.0,matched_family,0.6508368592358591,240
classification,96,12,1.0,shape_family,0.6205463606525442,240
classification,96,12,1.0,uniform,0.6344266653058315,240
regression,64,8,0.0,best_individual_oracle,0.21553747688412364,240
regression,64,8,0.0,competence,0.22547689813731567,240
regression,64,8,0.0,fixed,0.45463781169363493,240
regression,64,8,0.0,matched_family,0.2659173941831031,240
regression,64,8,0.0,shape_family,0.5007094731663987,240
regression,64,8,0.0,uniform,0.46654572029171876,240
regression,64,8,0.25,best_individual_oracle,0.20908744329280887,240
regression,64,8,0.25,competence,0.22098071932315724,240
regression,64,8,0.25,fixed,0.455791377043127,240
regression,64,8,0.25,matched_family,0.26087128609402527,240
regression,64,8,0.25,shape_family,0.4570151912266238,240
regression,64,8,0.25,uniform,0.46382347476531655,240
regression,64,8,0.5,best_individual_oracle,0.20983183949324058,240
regression,64,8,0.5,competence,0.2145052515537315,240
regression,64,8,0.5,fixed,0.4632959898490403,240
regression,64,8,0.5,matched_family,0.2508295775371917,240
regression,64,8,0.5,shape_family,0.3953139542764301,240
regression,64,8,0.5,uniform,0.473972601493773,240
regression,64,8,0.75,best_individual_oracle,0.20565199969818387,240
regression,64,8,0.75,competence,0.20509723801402777,240
regression,64,8,0.75,fixed,0.45332212712988934,240
regression,64,8,0.75,matched_family,0.2406721353534698,240
regression,64,8,0.75,shape_family,0.3539719151076031,240
regression,64,8,0.75,uniform,0.46383074248255035,240
regression,64,8,1.0,best_individual_oracle,0.17578126389726856,240
