dataset,feature_count,method,mean_loss,episodes
abalone,7,best_individual_oracle,0.5185983351368323,60
abalone,7,competence,0.5289675244415434,60
abalone,7,fixed,0.5486725319557146,60
abalone,7,hard_cv,0.5626846335268822,60
abalone,7,uniform,0.5372935107807851,60
auction_verification,5,best_individual_oracle,0.8300720061431119,60
auction_verification,5,competence,0.8647595604030855,60
auction_verification,5,fixed,0.8581307958341455,60
auction_verification,5,hard_cv,0.9038613436260882,60
auction_verification,5,uniform,0.8560306598289575,60
geographical_origin_of_music,32,best_individual_oracle,0.9040591540260174,60
geographical_origin_of_music,32,competence,0.9106290927373085,60
geographical_origin_of_music,32,fixed,1.3049160316309185,60
geographical_origin_of_music,32,hard_cv,0.9096110460504048,60
geographical_origin_of_music,32,uniform,1.1879240562933988,60
naval_propulsion_plant,14,best_individual_oracle,0.4962751381527258,60
naval_propulsion_plant,14,competence,0.5570572842494886,60
naval_propulsion_plant,14,fixed,0.6515487120692764,60
naval_propulsion_plant,14,hard_cv,0.5571146233871164,60
naval_propulsion_plant,14,uniform,0.6190693147520132,60
solar_flare,2,best_individual_oracle,2.101887835222384,60
solar_flare,2,competence,2.1152577967356554,60
solar_flare,2,fixed,2.1156560159870343,60
solar_flare,2,hard_cv,2.1151308602799834,60
solar_flare,2,uniform,2.115169729787799,60
