dataset,problem_type,model,method,gate_family,alpha,disagreement_reduction,normalized_excess_risk,absolute_task_difference,relative_task_difference,denominator_sensitive,raw_fallback
california_housing,regression,catboost,G1-point-t01,G1,1.0,1.0,0.0019163947400576498,101.0404475457035,0.0016570782181607308,False,False
california_housing,regression,catboost,G2-oneSE-t01,G2,0.625,0.625,-0.0031239866932229097,-161.9897951528983,-0.0026198310415311236,False,False
california_housing,regression,catboost,G3-validation-min,G3,0.375,0.37499999999999994,-0.003632880650766833,-188.58783105990005,-0.0030528881099679338,False,False
california_housing,regression,catboost,G4-constrained-0.001,G4,0.375,0.37499999999999994,-0.003632880650766833,-188.58783105990005,-0.0030528881099679338,False,False
california_housing,regression,catboost,G4-constrained-0.01,G4,0.875,0.875,-0.0005676275923412952,-28.80575348461207,-0.0004572284894953855,False,False
california_housing,regression,catboost,G4-constrained-0.05,G4,1.0,1.0,0.0019163947400576498,101.0404475457035,0.0016570782181607308,False,False
california_housing,regression,catboost,GramAnchor,fixed,1.0,1.0,0.0019163947400576498,101.0404475457035,0.0016570782181607308,False,False
california_housing,regression,catboost,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,catboost,Raw+GramAnchor@0.5,fixed,0.5,0.5,-0.003131523572152988,-162.3806141727655,-0.0026261517556210668,False,False
california_housing,regression,catboost,Raw+GramAnchor@0.75,fixed,0.75,0.75,-0.001627520115758365,-83.76565943631067,-0.001346094778676814,False,False
california_housing,regression,catboost,SafeGram-t0,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,catboost,SafeGram-t005,SafeGram,0.25,0.2499999999999999,-0.0025880218348615356,-134.40748636813805,-0.0021766296612169174,False,False
california_housing,regression,catboost,SafeGram-t01,SafeGram,0.375,0.37499999999999994,-0.003632880650766833,-188.58783105990005,-0.0030528881099679338,False,False
california_housing,regression,catboost,SafeGram-t02,SafeGram,0.625,0.625,-0.0031239866932229097,-161.9897951528983,-0.0026198310415311236,False,False
california_housing,regression,controlled_mlp,G1-point-t01,G1,1.0,1.0,-0.0016681211657757905,-72.65560920138887,-0.0010185721234665327,False,False
california_housing,regression,controlled_mlp,G2-oneSE-t01,G2,0.875,0.875,-0.0053411222218372675,-250.41723339493547,-0.0037412668004318354,False,False
california_housing,regression,controlled_mlp,G3-validation-min,G3,0.75,0.75,-0.013593292126971612,-656.1398390800678,-0.010029577649322172,False,False
california_housing,regression,controlled_mlp,G4-constrained-0.001,G4,0.75,0.75,-0.013593292126971612,-656.1398390800678,-0.010029577649322172,False,False
california_housing,regression,controlled_mlp,G4-constrained-0.01,G4,0.875,0.875,-0.0053411222218372675,-250.41723339493547,-0.0037412668004318354,False,False
california_housing,regression,controlled_mlp,G4-constrained-0.05,G4,1.0,1.0,-0.0016681211657757905,-72.65560920138887,-0.0010185721234665327,False,False
california_housing,regression,controlled_mlp,GramAnchor,fixed,1.0,1.0,-0.0016681211657757905,-72.65560920138887,-0.0010185721234665327,False,False
california_housing,regression,controlled_mlp,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,controlled_mlp,Raw+GramAnchor@0.5,fixed,0.5,0.5,-0.01730508636901436,-839.2709575418412,-0.012875271650720402,False,False
california_housing,regression,controlled_mlp,Raw+GramAnchor@0.75,fixed,0.75,0.75,-0.013593292126971612,-656.1398390800678,-0.010029577649322172,False,False
california_housing,regression,controlled_mlp,SafeGram-t0,SafeGram,0.25,0.25,-0.012742979207375372,-619.0602547502385,-0.00950918287359936,False,False
california_housing,regression,controlled_mlp,SafeGram-t005,SafeGram,0.5,0.5,-0.01730508636901436,-839.2709575418412,-0.012875271650720402,False,False
california_housing,regression,controlled_mlp,SafeGram-t01,SafeGram,0.5,0.5,-0.01730508636901436,-839.2709575418412,-0.012875271650720402,False,False
california_housing,regression,controlled_mlp,SafeGram-t02,SafeGram,0.75,0.75,-0.013593292126971612,-656.1398390800678,-0.010029577649322172,False,False
california_housing,regression,tabicl_v2,G1-point-t01,G1,0.25,0.25,-0.0046869704345487975,-257.3110165806211,-0.0043770446612294124,False,False
california_housing,regression,tabicl_v2,G2-oneSE-t01,G2,0.25,0.25,-0.0046869704345487975,-257.3110165806211,-0.0043770446612294124,False,False
california_housing,regression,tabicl_v2,G3-validation-min,G3,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,tabicl_v2,G4-constrained-0.001,G4,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,tabicl_v2,G4-constrained-0.01,G4,0.25,0.25,-0.0046869704345487975,-257.3110165806211,-0.0043770446612294124,False,False
california_housing,regression,tabicl_v2,G4-constrained-0.05,G4,1.0,1.0,0.0230137476288942,1263.4367723061368,0.021491964287082096,False,False
california_housing,regression,tabicl_v2,GramAnchor,fixed,1.0,1.0,0.0230137476288942,1263.4367723061368,0.021491964287082096,False,False
california_housing,regression,tabicl_v2,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,tabicl_v2,Raw+GramAnchor@0.5,fixed,0.5,0.5,-0.0023613787298441815,-129.63784815650433,-0.002205232635225738,False,False
california_housing,regression,tabicl_v2,Raw+GramAnchor@0.75,fixed,0.75,0.75,0.006931380020358646,380.52735007635783,0.006473042733409878,False,False
california_housing,regression,tabicl_v2,SafeGram-t0,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,tabicl_v2,SafeGram-t005,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,tabicl_v2,SafeGram-t01,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,tabicl_v2,SafeGram-t02,SafeGram,0.25,0.25,-0.0046869704345487975,-257.3110165806211,-0.0043770446612294124,False,False
california_housing,regression,tabm_d,G1-point-t01,G1,1.0,1.0,-0.024422280201258292,-1286.1316275909703,-0.021076635696647937,False,False
california_housing,regression,tabm_d,G2-oneSE-t01,G2,0.875,0.875,-0.025159186561691506,-1325.134663741428,-0.021718580511546036,False,False
california_housing,regression,tabm_d,G3-validation-min,G3,0.625,0.625,-0.023336619985306985,-1228.8317537646435,-0.020135832154047614,False,False
california_housing,regression,tabm_d,G4-constrained-0.001,G4,0.625,0.625,-0.023336619985306985,-1228.8317537646435,-0.020135832154047614,False,False
california_housing,regression,tabm_d,G4-constrained-0.01,G4,0.875,0.875,-0.025159186561691506,-1325.134663741428,-0.021718580511546036,False,False
california_housing,regression,tabm_d,G4-constrained-0.05,G4,1.0,1.0,-0.024422280201258292,-1286.1316275909703,-0.021076635696647937,False,False
california_housing,regression,tabm_d,GramAnchor,fixed,1.0,1.0,-0.024422280201258292,-1286.1316275909703,-0.021076635696647937,False,False
california_housing,regression,tabm_d,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,tabm_d,Raw+GramAnchor@0.5,fixed,0.5,0.5,-0.020822571065962442,-1096.91441165773,-0.017980799813822626,False,False
california_housing,regression,tabm_d,Raw+GramAnchor@0.75,fixed,0.75,0.75,-0.024803858667440008,-1306.4898748411688,-0.021413994909569897,False,False
california_housing,regression,tabm_d,SafeGram-t0,SafeGram,0.375,0.37499999999999994,-0.017168263166120058,-903.4989239169736,-0.014797404834077987,False,False
california_housing,regression,tabm_d,SafeGram-t005,SafeGram,0.5,0.5,-0.020822571065962442,-1096.91441165773,-0.017980799813822626,False,False
california_housing,regression,tabm_d,SafeGram-t01,SafeGram,0.625,0.625,-0.023336619985306985,-1228.8317537646435,-0.020135832154047614,False,False
california_housing,regression,tabm_d,SafeGram-t02,SafeGram,0.875,0.875,-0.025159186561691506,-1325.134663741428,-0.021718580511546036,False,False
california_housing,regression,tabpfn_2_6,G1-point-t01,G1,1.0,1.0,0.02182784562120843,1333.1324823237155,0.02534118430254727,False,False
california_housing,regression,tabpfn_2_6,G2-oneSE-t01,G2,0.75,0.75,0.007713654718234288,470.26678660221296,0.008921620161332279,False,False
california_housing,regression,tabpfn_2_6,G3-validation-min,G3,0.625,0.625,0.003304503051030851,200.7149754487,0.003792289751557498,False,False
california_housing,regression,tabpfn_2_6,G4-constrained-0.001,G4,0.625,0.625,0.003304503051030851,200.7149754487,0.003792289751557498,False,False
california_housing,regression,tabpfn_2_6,G4-constrained-0.01,G4,0.875,0.875,0.013912708921411597,849.243608908957,0.016133210879046744,False,False
california_housing,regression,tabpfn_2_6,G4-constrained-0.05,G4,1.0,1.0,0.02182784562120843,1333.1324823237155,0.02534118430254727,False,False
california_housing,regression,tabpfn_2_6,GramAnchor,fixed,1.0,1.0,0.02182784562120843,1333.1324823237155,0.02534118430254727,False,False
california_housing,regression,tabpfn_2_6,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,tabpfn_2_6,Raw+GramAnchor@0.5,fixed,0.5,0.5,0.0030045461456808305,190.67516493514995,0.0037738523305717213,False,False
california_housing,regression,tabpfn_2_6,Raw+GramAnchor@0.75,fixed,0.75,0.75,0.010478626704254942,645.3535092775892,0.012379239677639441,False,False
california_housing,regression,tabpfn_2_6,SafeGram-t0,SafeGram,0.375,0.375,-0.002693738757742932,-159.93404611955702,-0.0029446638377383805,False,True
california_housing,regression,tabpfn_2_6,SafeGram-t005,SafeGram,0.625,0.625,0.003304503051030851,200.7149754487,0.003792289751557498,False,False
california_housing,regression,tabpfn_2_6,SafeGram-t01,SafeGram,0.625,0.625,0.003304503051030851,200.7149754487,0.003792289751557498,False,False
california_housing,regression,tabpfn_2_6,SafeGram-t02,SafeGram,0.75,0.75,0.007713654718234288,470.26678660221296,0.008921620161332279,False,False
eeg-eye-state,classification,catboost,G1-point-t01,G1,0.5,0.49999999999999994,0.0005216372971532613,0.00013664312390199163,0.00031963900207177204,False,False
eeg-eye-state,classification,catboost,G2-oneSE-t01,G2,0.125,0.125,-0.002577041590730824,-0.000710970613365669,-0.0017252613136185709,False,True
eeg-eye-state,classification,catboost,G3-validation-min,G3,0.125,0.125,-0.002577041590730824,-0.000710970613365669,-0.0017252613136185709,False,True
eeg-eye-state,classification,catboost,G4-constrained-0.001,G4,0.125,0.125,-0.002577041590730824,-0.000710970613365669,-0.0017252613136185709,False,True
