dataset,model,seed,embedding,k,interface,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m0,True,1.1954587214105008e-15,1.1957762958376833e-15,1.1823307091452103e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m1,True,1.4819016192607085e-15,1.4361967638329347e-15,1.4382710985976337e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m2,True,1.8973136643374004e-15,1.8511771610787243e-15,1.867712572875126e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m3,True,1.1940039734523728e-15,1.1726911045513735e-15,1.1758190070434641e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m4,True,9.217000621257269e-16,9.06017130479575e-16,9.02065821966531e-16
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m5,True,1.2885765575646836e-15,1.2396083080586302e-15,1.2646824030583193e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m6,True,1.8198057450578316e-15,1.793324655520218e-15,1.787902333709335e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m7,True,2.1564628234719632e-15,2.106795861199721e-15,2.1100894695693632e-15
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m0,True,1.1867745771393777e-15,1.1803683496372212e-15,1.1599259076536216e-15
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m1,True,1.0792006931339157e-15,1.0443793331359252e-15,1.0478839795234965e-15
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m2,True,1.252521089253873e-15,1.1791882850718915e-15,1.2249367371567356e-15
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m3,True,1.313070150039594e-15,1.273155610447589e-15,1.2965399414574347e-15
