dataset,model,seed,interface,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
cardiotocography,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,1.573073943587713e-15,1.6056617001069475e-15,1.5709051647406438e-15
cardiotocography,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,1.109030068976039e-15,1.121020871307719e-15,1.1063391001725867e-15
cardiotocography,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,1.0450699514258237e-15,1.0489935789725214e-15,1.0378851385145914e-15
cardiotocography,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,1.54837762998468e-15,1.5709338340420215e-15,1.5356977002247911e-15
cardiotocography,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,1.5050000856552403e-15,1.5362114179081437e-15,1.5030642087630429e-15
cardiotocography,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,8.75796706546556e-16,8.817185134859341e-16,8.691468073401971e-16
cardiotocography,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,1.401258924545935e-15,1.43333853233139e-15,1.3951863230689578e-15
cardiotocography,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,2.805351693433295e-15,2.8590012679951643e-15,2.812276304959266e-15
cardiotocography,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m0,True,1.922545111314237e-15,1.9487924944324298e-15,1.9046287835763965e-15
cardiotocography,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m1,True,1.224730134143586e-15,1.2191141048700922e-15,1.212729164439867e-15
cardiotocography,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m2,True,1.1453551052088549e-15,1.1362487248326989e-15,1.1302459081257236e-15
cardiotocography,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m3,True,2.029357043287097e-15,2.0441269589341003e-15,1.9977552072979443e-15
cardiotocography,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m4,True,1.9189861470837733e-15,1.942416548107916e-15,1.9000466104816706e-15
cardiotocography,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m5,True,9.901566785028072e-16,9.824205283324857e-16,9.694200158850373e-16
cardiotocography,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m6,True,1.820278763254292e-15,1.8473854744238293e-15,1.7986655769115383e-15
cardiotocography,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m7,True,1.7168474607533956e-15,1.7455351185138794e-15,1.69747079018827e-15
cardiotocography,catboost,0,PCA-canonicalization,pca__v1__orthogonal_all__m0,True,7.051793452101621e-15,7.067566588472813e-15,7.061890681021856e-15
cardiotocography,catboost,0,PCA-canonicalization,pca__v1__orthogonal_all__m1,True,6.635449648602162e-15,6.639985189862829e-15,6.656188600132175e-15
cardiotocography,catboost,0,PCA-canonicalization,pca__v1__orthogonal_all__m2,True,6.0672925592398784e-15,6.0822948460254565e-15,6.10160292519518e-15
cardiotocography,catboost,0,PCA-canonicalization,pca__v1__orthogonal_all__m3,True,7.395191728945372e-15,7.42167606185343e-15,7.425447805438871e-15
cardiotocography,catboost,0,PCA-canonicalization,pca__v1__orthogonal_all__m4,True,8.153446357800545e-15,8.169851316179567e-15,8.198643919119433e-15
cardiotocography,catboost,0,PCA-canonicalization,pca__v1__orthogonal_all__m5,True,8.406185575303604e-15,8.474796705832655e-15,8.466463390562799e-15
