dataset,config_id,relative_threshold,anchor_rule,normalization,standardize,screen,feature,kind,raw_block_dimension,empirical_rank,singular_values,relative_rank_threshold,anchor_count,anchor_indices,pivot_rank,anchor_gram_condition_number,anchor_gram_effective_condition_number,coordinate_dimension,reconstruction_error,global_rms_scale,standardized,constant_coordinates
steel-plates-fault,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,V1,continuous,8,8,"[43.93706731186612, 22.16979507483453, 12.437898618853042, 6.934360384288078, 2.920403396552183, 0.9938916662191766, 0.05814347371120844, 0.0008065055408117658]",1e-06,8,"[813, 407, 972, 49, 432, 589, 91, 25]",8,1320613000.984304,1320612993.565752,8,3.38443688981597e-12,1.0,True,0.0
steel-plates-fault,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,V2,continuous,8,8,"[43.93887130305502, 22.37922251500703, 12.162036789807498, 6.656719424721911, 3.0524416534225787, 1.166243841980208, 0.10016246111093254, 0.0030997526611918464]",1e-06,8,"[273, 472, 978, 629, 590, 187, 471, 591]",8,160189004.7304128,160189004.82707393,8,1.4582068014248245e-12,1.0,True,0.0
steel-plates-fault,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,V3,continuous,8,8,"[31.723618181540765, 19.482667494872853, 12.346315984620063, 7.797658874001304, 4.672010168513998, 1.6419265072031526, 1.4150847503815027, 0.22403020454102474]",1e-06,8,"[410, 679, 369, 79, 447, 766, 118, 333]",8,29471.2118987042,29471.211898631624,8,2.3362771278652595e-14,1.0,True,0.0
steel-plates-fault,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,V4,continuous,8,8,"[31.724731471086294, 19.482858048196633, 12.34611016061402, 7.797633514979985, 4.671446559655016, 1.6419428603015316, 1.4147402886600942, 0.22396305575527442]",1e-06,8,"[410, 679, 369, 79, 447, 766, 118, 333]",8,29490.649365044443,29490.64936505862,8,1.3876302409321144e-14,1.0,True,0.0
steel-plates-fault,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,V5,continuous,8,8,"[39.631062722894555, 12.460372705666607, 5.277109790556888, 3.906771288481482, 1.9986314762081938, 1.0, 0.6011254376757824, 0.04122724240397012]",1e-06,8,"[753, 212, 491, 268, 128, 336, 729, 888]",8,504471.05192422366,504471.051916375,8,7.051171742350449e-14,1.0,True,0.0
steel-plates-fault,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,V6,continuous,8,8,"[39.674304921440104, 12.910178271485908, 7.6850058585806345, 4.228835040400289, 3.7079308866936196, 1.0, 0.5737775434057726, 0.037860312818404934]",1e-06,8,"[17, 614, 212, 317, 66, 336, 95, 158]",8,583836.9525920924,583836.952599955,8,8.118364057451415e-14,1.0,True,0.0
steel-plates-fault,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,V7,continuous,8,8,"[37.34431882161775, 13.389452988235403, 6.4936963800595455, 6.381819567673927, 4.6587124081328195, 1.005118773722673, 1.0, 0.07200923698359943]",1e-06,8,"[32, 212, 308, 181, 13, 336, 15, 62]",8,196940.29045207452,196940.29045192877,8,6.316641555873652e-14,1.0,True,0.0
steel-plates-fault,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,V8,continuous,8,8,"[38.45662740618848, 12.875753035163294, 6.261894339047953, 4.287022154257495, 1.061173303737055, 1.0, 0.7674673967093895, 0.05776726714779716]",1e-06,8,"[845, 212, 480, 79, 361, 355, 445, 433]",8,232081.5885657691,232081.58856535194,8,5.1121594625878914e-14,1.0,True,0.0
steel-plates-fault,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,V9,continuous,8,8,"[36.96632496793356, 17.512811348833303, 12.707651106676488, 5.951835912818251, 3.2508603362129267, 2.433154629367199, 1.5664631684345829, 0.2015094219584045]",1e-06,8,"[3, 24, 212, 200, 116, 188, 114, 207]",8,21169.333647201976,21169.333647173127,8,1.406541455990325e-14,1.0,True,0.0
steel-plates-fault,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,V10,continuous,8,8,"[34.97113242960436, 19.39291504040935, 9.731127214744877, 5.679962548527896, 1.8202787335620843, 1.3765316257952016, 0.8295185692677293, 0.2060830044812224]",1e-06,8,"[45, 468, 765, 879, 85, 41, 476, 462]",8,26408.875890506657,26408.875890553718,8,3.209182471213279e-14,1.0,True,0.0
