dataset,problem_type,model,method,seed,alpha,raw_fallback,raw_disagreement,method_disagreement,disagreement_reduction,maximum_coordinate_error,median_empirical_rank,median_anchor_count,total_coordinate_dimension,maximum_reconstruction_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
california_housing,regression,controlled_mlp,RankAdaptiveGram,0.5,1.0,0.0,0.11983195256515733,0.0,1.0,1.131946490583555e-15,8.0,8.0,69.0,4.714140584772471e-13,0.25765310239512473,64904.49143450815,64789.215077217494,113685.69177493482,-115.27635729065514,-0.001734670897333799,48781.20034042667,-0.0024367174233618284,0.0
california_housing,regression,controlled_mlp,SafeRankGram-t01,0.5,0.625,0.0,0.11983195256515733,0.04395243325990152,0.625,1.131946490583555e-15,8.0,8.0,69.0,4.714140584772471e-13,0.25765310239512473,64904.49143450815,63893.95762739236,113685.69177493482,-1010.5338071157857,-0.015540330300898686,48781.20034042667,-0.020769624351608503,0.0
california_housing,regression,resnet_tabular,RankAdaptiveGram,0.5,1.0,0.0,0.232773133547643,0.0,1.0,1.131946490583555e-15,8.0,8.0,69.0,4.714140584772471e-13,0.23924406443256885,64878.35481312133,64021.04529765139,113685.69177493482,-857.309515469944,-0.013107495297534652,48807.33696181349,-0.017762588290233465,0.0
california_housing,regression,resnet_tabular,SafeRankGram-t01,0.5,0.75,0.0,0.232773133547643,0.05817804105179772,0.7499999955686552,1.131946490583555e-15,8.0,8.0,69.0,4.714140584772471e-13,0.23924406443256885,64878.35481312133,63386.33583130795,113685.69177493482,-1492.018981813384,-0.02301809113920853,48807.33696181349,-0.030548279845769705,0.0
california_housing,regression,tabm_d,RankAdaptiveGram,0.5,1.0,0.0,0.17592869503739963,0.0,1.0,1.131946490583555e-15,8.0,8.0,69.0,4.714140584772471e-13,0.4080472824862227,60985.62031566495,60147.8437143582,113685.69177493482,-837.7766013067558,-0.013714156490853554,52700.07145926987,-0.015928589890830017,0.0
california_housing,regression,tabm_d,SafeRankGram-t01,0.5,0.375,0.0,0.17592869503739963,0.10994358258747736,0.37499999999999994,1.131946490583555e-15,8.0,8.0,69.0,4.714140584772471e-13,0.4080472824862227,60985.62031566495,60215.409974173475,113685.69177493482,-770.2103414914745,-0.01261071249389508,52700.07145926987,-0.014640480954239565,0.0
eeg-eye-state,classification,controlled_mlp,RankAdaptiveGram,0.5,1.0,0.0,0.14079559228732838,0.0,1.0,1.9416913985366906e-15,8.0,8.0,112.0,7.22888496361829e-14,0.1598574344534427,0.5642735624786197,0.5298769615855,0.6879808065690332,-0.034396600893119744,-0.06095355355881615,0.12370724409041339,-0.2781293894273935,0.0
eeg-eye-state,classification,controlled_mlp,SafeRankGram-t01,0.5,0.875,0.0,0.14079559228732838,0.01995005351494088,0.8749999993031212,1.9416913985366906e-15,8.0,8.0,112.0,7.22888496361829e-14,0.1598574344534427,0.5642735624786197,0.5215005178073953,0.6879808065690332,-0.04277304467122445,-0.07580747236512231,0.12370724409041339,-0.3456490476424562,0.0
eeg-eye-state,classification,resnet_tabular,RankAdaptiveGram,0.5,1.0,0.0,0.23030168231164194,0.0,1.0,1.9416913985366906e-15,8.0,8.0,112.0,7.22888496361829e-14,0.19108229002449661,0.5496219111089942,0.43164944057318844,0.6879808065690332,-0.11797247053580576,-0.2111620206197869,0.13835889546003893,-0.9929308149284317,0.0
eeg-eye-state,classification,resnet_tabular,SafeRankGram-t01,0.5,0.875,0.0,0.23030168231164194,0.026271166651610504,0.8749999993038947,1.9416913985366906e-15,8.0,8.0,112.0,7.22888496361829e-14,0.19108229002449661,0.5496219111089942,0.4254386621683748,0.6879808065690332,-0.12418324894061944,-0.22327384476813622,0.13835889546003893,-1.0283815901856532,0.0
eeg-eye-state,classification,tabm_d,RankAdaptiveGram,0.5,1.0,0.0,0.08362047406946757,0.0,1.0,1.9416913985366906e-15,8.0,8.0,112.0,7.22888496361829e-14,0.389017250505276,0.4315605209203899,0.382683870787908,0.6879808065690332,-0.04887665013248185,-0.11324422536554567,0.2564202856486433,-0.1906510468266398,0.0
eeg-eye-state,classification,tabm_d,SafeRankGram-t01,0.5,0.875,0.0,0.08362047406946757,0.009045190026114413,0.8750000002968099,1.9416913985366906e-15,8.0,8.0,112.0,7.22888496361829e-14,0.389017250505276,0.4315605209203899,0.3772687024291703,0.6879808065690332,-0.054291818491219584,-0.12575562098360965,0.2564202856486433,-0.21187352556888345,0.0
house_16H,regression,controlled_mlp,RankAdaptiveGram,0.5,1.0,0.0,0.19094539253446596,0.0,1.0,2.0872692133070318e-15,8.0,8.0,117.0,1.2945398699448497e-12,0.15195119054988027,35024.80171011288,34514.21158333433,50393.3899336474,-510.59012677854844,-0.014560268431976105,15368.58822353452,-0.03331720224962385,0.0
