scope,dataset,model,method,seed,split,n_rows,training_classes,probability_columns,class_ordering,row_sum_min,row_sum_max,maximum_row_sum_deviation,minimum_probability,maximum_probability,entries_clipped_at_epsilon,entries_clipped_at_one,clipping_epsilon,renormalized_after_clipping,sample_weights_used
general,mfeat-fourier,controlled_mlp,Raw,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998630180985,1.0000001494746957,1.4947469573201033e-07,3.303033432831216e-17,0.9999997615814209,288,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998396228319,1.0000001340423395,1.603771681013555e-07,8.638229931534527e-17,0.9999994039535522,426,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.5,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998902177367,1.0000000989614666,1.0978226328006713e-07,1.1068951446719577e-16,0.9999998807907104,235,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.5,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998988285153,1.0000000951368853,1.0117148474542148e-07,2.711675263123258e-16,0.9999997019767761,364,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.75,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.999999884679994,1.0000001163637262,1.163637262102668e-07,1.4951910453663758e-16,0.9999999403953552,236,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.75,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998920430926,1.0000001208403864,1.2084038636395178e-07,3.635601398108161e-16,0.9999998509883881,369,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,PureGram,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998460525603,1.0000001478053946,1.5394743968499824e-07,4.3005503858436133e-17,1.0,296,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,PureGram,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.999999857603143,1.0000001522093953,1.5220939530991018e-07,1.2842451495451645e-16,1.0,475,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,GuardedGram-G2-g0p0-t01,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.999999884679994,1.0000001163637262,1.163637262102668e-07,1.4951910453663758e-16,0.9999999403953552,236,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,GuardedGram-G2-g0p0-t01,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998920430926,1.0000001208403864,1.2084038636395178e-07,3.635601398108161e-16,0.9999998509883881,369,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeGram-t01,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998902177367,1.0000000989614666,1.0978226328006713e-07,1.1068951446719577e-16,0.9999998807907104,235,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeGram-t01,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998988285153,1.0000000951368853,1.0117148474542148e-07,2.711675263123258e-16,0.9999997019767761,364,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeRankGram-t01,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998981013478,1.0000001053273309,1.0532733085710788e-07,1.653473881805782e-17,0.9999998807907104,267,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeRankGram-t01,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999999118008156,1.0000001291883285,1.2918832847930162e-07,4.507455285169641e-17,0.9999997019767761,411,0,1e-08,True,False
